id,assigned_to_cluster,timestamp,lon,lat,clusterStart,clusterEnd
757,NA,2016-11-02 15:52:56,-58.8328657,-27.4720341,2016-11-02 15:52:56,2016-11-07 12:01:04
756,15,2016-11-02 16:06:25,-46.6333823,-23.5506506,2016-11-02 15:52:56,2016-11-07 12:01:04
755,15,2016-11-02 16:32:12,-46.3338889,-23.9608329,2016-11-02 15:52:56,2016-11-07 12:01:04
754,NA,2016-11-02 16:38:53,-47.7797923,-20.3366603,2016-11-02 15:52:56,2016-11-07 12:01:04
753,NA,2016-11-02 16:40:59,-75.5735529,6.2443382,2016-11-02 15:52:56,2016-11-07 12:01:04
752,17,2016-11-02 17:04:08,-43.1926129,-22.5199629,2016-11-02 15:52:56,2016-11-07 12:01:04
751,17,2016-11-02 17:06:01,-43.1926129,-22.5199629,2016-11-02 15:52:56,2016-11-07 12:01:04
750,17,2016-11-02 17:34:28,-43.1154551,-22.883237,2016-11-02 15:52:56,2016-11-07 12:01:04
749,10,2016-11-02 18:27:44,-57.8433678,-34.4698591,2016-11-02 15:52:56,2016-11-07 12:01:04
748,15,2016-11-02 18:49:05,-46.6333823,-23.5506506,2016-11-02 15:52:56,2016-11-07 12:01:04
747,8,2016-11-02 20:46:49,-58.6217415,-34.6510526,2016-11-02 15:52:56,2016-11-07 12:01:04
746,NA,2016-11-02 21:39:51,-77.1499999,-12.0666669,2016-11-02 15:52:56,2016-11-07 12:01:04
745,15,2016-11-02 22:03:08,-46.6333823,-23.5506506,2016-11-02 15:52:56,2016-11-07 12:01:04
744,NA,2016-11-02 22:23:25,-48.6692859,-27.645889,2016-11-02 15:52:56,2016-11-07 12:01:04
743,15,2016-11-02 22:26:47,-46.3338889,-23.9608329,2016-11-02 15:52:56,2016-11-07 12:01:04
742,NA,2016-11-02 23:47:10,-43.9450947,-19.9227317,2016-11-02 15:52:56,2016-11-07 12:01:04
741,17,2016-11-02 23:52:16,-43.3099289,-22.7896224,2016-11-02 15:52:56,2016-11-07 12:01:04
740,NA,2016-11-03 00:12:42,-57.6311195,-25.2959915,2016-11-02 15:52:56,2016-11-07 12:01:04
739,8,2016-11-03 00:18:06,-59.0258389,-34.0954252,2016-11-02 15:52:56,2016-11-07 12:01:04
738,NA,2016-11-03 00:21:03,-84.5978533,15.0610686,2016-11-02 15:52:56,2016-11-07 12:01:04
737,NA,2016-11-03 00:56:34,-43.9450947,-19.9227317,2016-11-02 15:52:56,2016-11-07 12:01:04
