id,lon,lat,weight,clusterStart,clusterEnd
1,-103,19,0.1575811274,2016-09-02 00:00:34,2016-09-10 13:29:52
2,-103,21,0.2348424345,2016-09-02 00:00:34,2016-09-10 13:29:52
3,-99,19,0.0929476152,2016-09-02 00:00:34,2016-09-10 13:29:52
4,-87,21,0.5898145565,2016-09-02 00:00:34,2016-09-10 13:29:52
5,-85,9,0.032333347,2016-09-02 00:00:34,2016-09-10 13:29:52
6,-71,9,0.0283354133,2016-09-02 00:00:34,2016-09-10 13:29:52
7,-67,11,0.8763825876,2016-09-02 00:00:34,2016-09-10 13:29:52
8,-65,-31,0.0421047698,2016-09-02 00:00:34,2016-09-10 13:29:52
9,-59,-35,0.0303353647,2016-09-02 00:00:34,2016-09-10 13:29:52
10,-59,-27,0.0815084909,2016-09-02 00:00:34,2016-09-10 13:29:52
11,-57,-35,0.0248318117,2016-09-02 00:00:34,2016-09-10 13:29:52
12,-57,-25,0.5168855108,2016-09-02 00:00:34,2016-09-10 13:29:52
13,-55,-35,0.7679938519,2016-09-02 00:00:34,2016-09-10 13:29:52
14,-55,-27,0.2051854022,2016-09-02 00:00:34,2016-09-10 13:29:52
15,-53,-17,0.0217614224,2016-09-02 00:00:34,2016-09-10 13:29:52
16,-53,-11,1.1978543843,2016-09-02 00:00:34,2016-09-10 13:29:52
17,-51,-21,1,2016-09-02 00:00:34,2016-09-10 13:29:52
18,-49,-25,0.267535002,2016-09-02 00:00:34,2016-09-10 13:29:52
19,-47,-23,1.0437754061,2016-09-02 00:00:34,2016-09-10 13:29:52
20,-47,-19,0.0368953633,2016-09-02 00:00:34,2016-09-10 13:29:52
21,-43,-23,0.3052226504,2016-09-02 00:00:34,2016-09-10 13:29:52
22,-43,-21,0.1666139401,2016-09-02 00:00:34,2016-09-10 13:29:52
23,-43,-19,0.3327928137,2016-09-02 00:00:34,2016-09-10 13:29:52
