id,lon,lat,weight,clusterStart,clusterEnd
1,-101,23,0.67303615,2016-09-29 23:38:16,2016-10-07 17:49:40
2,-99,19,0.0368953633,2016-09-29 23:38:16,2016-10-07 17:49:40
3,-97,19,0.5168855108,2016-09-29 23:38:16,2016-10-07 17:49:40
4,-97,21,0.3048665983,2016-09-29 23:38:16,2016-10-07 17:49:40
5,-97,23,0.7679938519,2016-09-29 23:38:16,2016-10-07 17:49:40
6,-93,19,0.8884708604,2016-09-29 23:38:16,2016-10-07 17:49:40
7,-85,13,0.0929436428,2016-09-29 23:38:16,2016-10-07 17:49:40
8,-81,9,0.0167126386,2016-09-29 23:38:16,2016-10-07 17:49:40
9,-67,-45,0.1575811274,2016-09-29 23:38:16,2016-10-07 17:49:40
10,-67,9,0.0480431658,2016-09-29 23:38:16,2016-10-07 17:49:40
11,-67,11,0.3980103397,2016-09-29 23:38:16,2016-10-07 17:49:40
12,-65,-17,1.8763525842,2016-09-29 23:38:16,2016-10-07 17:49:40
13,-61,-31,0.0132503247,2016-09-29 23:38:16,2016-10-07 17:49:40
14,-59,-35,0.1185531685,2016-09-29 23:38:16,2016-10-07 17:49:40
15,-57,-25,0.5898145565,2016-09-29 23:38:16,2016-10-07 17:49:40
16,-51,-23,0.0190706787,2016-09-29 23:38:16,2016-10-07 17:49:40
17,-47,-23,0.4185205852,2016-09-29 23:38:16,2016-10-07 17:49:40
18,-47,-21,0.1060574139,2016-09-29 23:38:16,2016-10-07 17:49:40
19,-45,-23,0.2671937186,2016-09-29 23:38:16,2016-10-07 17:49:40
20,-43,-23,0.5468937891,2016-09-29 23:38:16,2016-10-07 17:49:40
21,-43,-19,0.0548195172,2016-09-29 23:38:16,2016-10-07 17:49:40
22,-41,-23,0.0112481639,2016-09-29 23:38:16,2016-10-07 17:49:40
23,-41,-21,0.0251906118,2016-09-29 23:38:16,2016-10-07 17:49:40
24,-35,-9,0.1140832032,2016-09-29 23:38:16,2016-10-07 17:49:40
