id,lon,lat,weight,clusterStart,clusterEnd
1,-81,-5,0.2051854022,2016-10-26 14:30:51,2016-11-02 15:41:31
2,-77,-13,0.0434623171,2016-10-26 14:30:51,2016-11-02 15:41:31
3,-77,-11,0.0814514015,2016-10-26 14:30:51,2016-11-02 15:41:31
4,-77,19,0.0480412223,2016-10-26 14:30:51,2016-11-02 15:41:31
5,-75,5,0.5172665171,2016-10-26 14:30:51,2016-11-02 15:41:31
6,-71,19,0.4530848303,2016-10-26 14:30:51,2016-11-02 15:41:31
7,-67,9,0.0368954232,2016-10-26 14:30:51,2016-11-02 15:41:31
8,-59,-35,0.074704802,2016-10-26 14:30:51,2016-11-02 15:41:31
9,-59,-27,0.2640438351,2016-10-26 14:30:51,2016-11-02 15:41:31
10,-59,-3,0.3969665183,2016-10-26 14:30:51,2016-11-02 15:41:31
11,-57,-35,1.1205065761,2016-10-26 14:30:51,2016-11-02 15:41:31
12,-55,-27,0.1798148355,2016-10-26 14:30:51,2016-11-02 15:41:31
13,-53,-29,0.2341356731,2016-10-26 14:30:51,2016-11-02 15:41:31
14,-49,-29,0.6730333967,2016-10-26 14:30:51,2016-11-02 15:41:31
15,-47,-23,1.8089357445,2016-10-26 14:30:51,2016-11-02 15:41:31
16,-47,-7,0.1575811274,2016-10-26 14:30:51,2016-11-02 15:41:31
17,-43,-23,0.6800644375,2016-10-26 14:30:51,2016-11-02 15:41:31
18,-43,-19,1.0804753914,2016-10-26 14:30:51,2016-11-02 15:41:31
