id,assigned_to_cluster,timestamp,lon,lat,clusterStart,clusterEnd
2094,21,2016-09-10 14:14:34,-46.6333823,-23.5506506,2016-09-10 14:14:34,2016-09-21 00:01:41
2093,NA,2016-09-10 14:40:22,-81.3066245,8.3096067,2016-09-10 14:14:34,2016-09-21 00:01:41
2092,NA,2016-09-10 15:26:39,-50.3431619,-21.2910339,2016-09-10 14:14:34,2016-09-21 00:01:41
2091,10,2016-09-10 15:57:54,-67.3318346,10.2275043,2016-09-10 14:14:34,2016-09-21 00:01:41
2090,NA,2016-09-10 16:23:57,-57.4999999,-25.4999999,2016-09-10 14:14:34,2016-09-21 00:01:41
2089,NA,2016-09-10 16:25:22,-35.2080904,-5.8053979,2016-09-10 14:14:34,2016-09-21 00:01:41
2088,NA,2016-09-10 17:01:37,-77.3947692,18.1850507,2016-09-10 14:14:34,2016-09-21 00:01:41
2087,NA,2016-09-10 17:42:36,-49.253269,-16.6808819,2016-09-10 14:14:34,2016-09-21 00:01:41
2086,10,2016-09-10 18:04:36,-66.8086249,10.4772529,2016-09-10 14:14:34,2016-09-21 00:01:41
2085,20,2016-09-10 19:07:44,-49.4858388,-28.9348831,2016-09-10 14:14:34,2016-09-21 00:01:41
2084,NA,2016-09-10 19:23:27,-99.1333415,19.4326009,2016-09-10 14:14:34,2016-09-21 00:01:41
2083,15,2016-09-10 19:27:37,-55.8333329,-26.8333329,2016-09-10 14:14:34,2016-09-21 00:01:41
2082,4,2016-09-10 20:06:08,-89.6236999,20.9671405,2016-09-10 14:14:34,2016-09-21 00:01:41
2081,NA,2016-09-10 20:31:09,-84.5978533,15.0610686,2016-09-10 14:14:34,2016-09-21 00:01:41
2080,4,2016-09-10 20:49:00,-89.6236999,20.9671405,2016-09-10 14:14:34,2016-09-21 00:01:41
2079,NA,2016-09-10 22:51:19,-103.3469981,20.676143,2016-09-10 14:14:34,2016-09-21 00:01:41
2078,NA,2016-09-11 00:45:30,-49.2712361,-25.4295696,2016-09-10 14:14:34,2016-09-21 00:01:41
2077,NA,2016-09-11 01:25:52,-76.7986428,-11.3722472,2016-09-10 14:14:34,2016-09-21 00:01:41
2076,NA,2016-09-11 02:22:01,-103.1260927976,21.3780994,2016-09-10 14:14:34,2016-09-21 00:01:41
2075,NA,2016-09-11 02:27:56,-89.8988086,15.6356088,2016-09-10 14:14:34,2016-09-21 00:01:41
2074,21,2016-09-11 03:28:35,-46.8764611,-23.5112183,2016-09-10 14:14:34,2016-09-21 00:01:41
2073,4,2016-09-11 03:50:43,-89.6236999,20.9671405,2016-09-10 14:14:34,2016-09-21 00:01:41
2072,9,2016-09-11 03:54:34,-66.1109317,8.0018709,2016-09-10 14:14:34,2016-09-21 00:01:41
2071,NA,2016-09-11 03:58:35,-103.3469981,20.676143,2016-09-10 14:14:34,2016-09-21 00:01:41
2070,21,2016-09-11 04:24:09,-46.6333823,-23.5506506,2016-09-10 14:14:34,2016-09-21 00:01:41
2069,NA,2016-09-11 04:36:13,-74.808645983,11.01184845,2016-09-10 14:14:34,2016-09-21 00:01:41
2068,NA,2016-09-11 04:45:36,-74.808645983,11.01184845,2016-09-10 14:14:34,2016-09-21 00:01:41
2067,9,2016-09-11 04:49:37,-66.1109317,8.0018709,2016-09-10 14:14:34,2016-09-21 00:01:41
2066,17,2016-09-11 05:22:02,-53.1999999,-10.3333332,2016-09-10 14:14:34,2016-09-21 00:01:41
2065,22,2016-09-11 06:40:39,-43.2093726,-22.9110136,2016-09-10 14:14:34,2016-09-21 00:01:41
2064,4,2016-09-11 07:14:09,-89.6236999,20.9671405,2016-09-10 14:14:34,2016-09-21 00:01:41
2063,NA,2016-09-11 08:14:59,-77.0354442492,-12.0203012,2016-09-10 14:14:34,2016-09-21 00:01:41
2062,NA,2016-09-11 10:08:40,-77.0354442492,-12.0203012,2016-09-10 14:14:34,2016-09-21 00:01:41
2061,13,2016-09-11 10:41:10,-58.4375796,-34.6075797,2016-09-10 14:14:34,2016-09-21 00:01:41
2060,21,2016-09-11 12:23:12,-46.6333823,-23.5506506,2016-09-10 14:14:34,2016-09-21 00:01:41
2059,22,2016-09-11 15:14:23,-43.1154551,-22.883237,2016-09-10 14:14:34,2016-09-21 00:01:41
2058,6,2016-09-11 15:45:19,-74.0852376575,4.63874255,2016-09-10 14:14:34,2016-09-21 00:01:41
2057,NA,2016-09-11 16:47:21,-49.3804211,-20.812585,2016-09-10 14:14:34,2016-09-21 00:01:41
2056,NA,2016-09-11 17:23:45,-47.806667,-21.1783329,2016-09-10 14:14:34,2016-09-21 00:01:41
2055,21,2016-09-11 17:26:41,-46.6333823,-23.5506506,2016-09-10 14:14:34,2016-09-21 00:01:41
2054,6,2016-09-11 17:26:47,-74.0852376575,4.63874255,2016-09-10 14:14:34,2016-09-21 00:01:41
2053,6,2016-09-11 17:36:57,-74.0852376575,4.63874255,2016-09-10 14:14:34,2016-09-21 00:01:41
2052,22,2016-09-11 17:53:41,-43.2093726,-22.9110136,2016-09-10 14:14:34,2016-09-21 00:01:41
2051,NA,2016-09-11 18:28:12,-47.806667,-21.1783329,2016-09-10 14:14:34,2016-09-21 00:01:41
2050,NA,2016-09-11 18:31:03,-35.8771291,-7.2246742,2016-09-10 14:14:34,2016-09-21 00:01:41
2049,22,2016-09-11 19:51:17,-43.1154551,-22.883237,2016-09-10 14:14:34,2016-09-21 00:01:41
2048,21,2016-09-11 20:00:28,-46.6333823,-23.5506506,2016-09-10 14:14:34,2016-09-21 00:01:41
2047,21,2016-09-11 21:31:03,-46.6333823,-23.5506506,2016-09-10 14:14:34,2016-09-21 00:01:41
2046,NA,2016-09-11 21:57:55,-48.6339781,-26.9924394,2016-09-10 14:14:34,2016-09-21 00:01:41
2045,NA,2016-09-11 23:12:28,-65.4101932,-24.7893822,2016-09-10 14:14:34,2016-09-21 00:01:41
2044,NA,2016-09-11 23:39:24,-44.0840952,-19.9132748,2016-09-10 14:14:34,2016-09-21 00:01:41
2043,13,2016-09-12 00:04:58,-58.566131,-34.6073659,2016-09-10 14:14:34,2016-09-21 00:01:41
2042,NA,2016-09-12 01:27:48,-42.3663889,-21.1305559,2016-09-10 14:14:34,2016-09-21 00:01:41
2041,NA,2016-09-12 01:55:34,-61.5650443,16.2490067,2016-09-10 14:14:34,2016-09-21 00:01:41
2040,19,2016-09-12 02:13:04,-51.1595022,-23.3112877,2016-09-10 14:14:34,2016-09-21 00:01:41
2039,NA,2016-09-12 02:38:02,-43.9450947,-19.9227317,2016-09-10 14:14:34,2016-09-21 00:01:41
2038,NA,2016-09-12 03:35:37,-48.9525755,-16.3332827,2016-09-10 14:14:34,2016-09-21 00:01:41
2037,NA,2016-09-12 03:36:36,-103.3877863593,19.169313,2016-09-10 14:14:34,2016-09-21 00:01:41
2036,NA,2016-09-12 04:03:19,-56.0351418,-28.5497033,2016-09-10 14:14:34,2016-09-21 00:01:41
2035,15,2016-09-12 05:10:12,-54.4315256,-26.7372239,2016-09-10 14:14:34,2016-09-21 00:01:41
2034,NA,2016-09-12 05:28:15,-103.9256613016,19.32658855,2016-09-10 14:14:34,2016-09-21 00:01:41
2033,22,2016-09-12 05:52:23,-43.2093726,-22.9110136,2016-09-10 14:14:34,2016-09-21 00:01:41
2032,6,2016-09-12 06:11:23,-74.0852376575,4.63874255,2016-09-10 14:14:34,2016-09-21 00:01:41
2031,21,2016-09-12 06:47:28,-46.6333823,-23.5506506,2016-09-10 14:14:34,2016-09-21 00:01:41
2030,13,2016-09-12 07:04:21,-58.4020374,-34.7573681,2016-09-10 14:14:34,2016-09-21 00:01:41
2029,NA,2016-09-12 12:50:47,-61.8222515,17.079128,2016-09-10 14:14:34,2016-09-21 00:01:41
2028,3,2016-09-12 12:51:42,-89.9430807707,19.33157265,2016-09-10 14:14:34,2016-09-21 00:01:41
2027,NA,2016-09-12 13:52:48,-57.9537637,-34.9206796,2016-09-10 14:14:34,2016-09-21 00:01:41
2026,NA,2016-09-12 14:25:11,-84.0795781,9.9325427,2016-09-10 14:14:34,2016-09-21 00:01:41
2025,NA,2016-09-12 14:26:01,-99.4177777597,19.2587373,2016-09-10 14:14:34,2016-09-21 00:01:41
2024,NA,2016-09-12 15:13:48,-84.0795781,9.9325427,2016-09-10 14:14:34,2016-09-21 00:01:41
2023,NA,2016-09-12 15:19:44,-43.9450947,-19.9227317,2016-09-10 14:14:34,2016-09-21 00:01:41
2022,21,2016-09-12 15:41:43,-46.9338889,-23.5488799,2016-09-10 14:14:34,2016-09-21 00:01:41
2021,22,2016-09-12 17:05:08,-43.1154551,-22.883237,2016-09-10 14:14:34,2016-09-21 00:01:41
2020,NA,2016-09-12 17:32:38,-70.3028025,19.0974031,2016-09-10 14:14:34,2016-09-21 00:01:41
2019,NA,2016-09-12 19:20:19,-57.9537637,-34.9206796,2016-09-10 14:14:34,2016-09-21 00:01:41
2018,NA,2016-09-12 19:44:44,-43.9450947,-19.9227317,2016-09-10 14:14:34,2016-09-21 00:01:41
