id,lon,lat,weight,clusterStart,clusterEnd
1,-103,21,0.1213551385,2016-11-02 15:52:56,2016-11-07 12:01:04
2,-89,15,0.4529739531,2016-11-02 15:52:56,2016-11-07 12:01:04
3,-85,9,0.158774078,2016-11-02 15:52:56,2016-11-07 12:01:04
4,-75,5,0.0289937054,2016-11-02 15:52:56,2016-11-07 12:01:04
5,-75,11,0.092943815,2016-11-02 15:52:56,2016-11-07 12:01:04
6,-71,-41,0.0368953633,2016-11-02 15:52:56,2016-11-07 12:01:04
7,-61,-33,0.2685318991,2016-11-02 15:52:56,2016-11-07 12:01:04
8,-59,-35,2.1217686286,2016-11-02 15:52:56,2016-11-07 12:01:04
9,-59,-3,0.0167126386,2016-11-02 15:52:56,2016-11-07 12:01:04
10,-57,-35,0.2371668724,2016-11-02 15:52:56,2016-11-07 12:01:04
11,-57,-15,0.0086385207,2016-11-02 15:52:56,2016-11-07 12:01:04
12,-53,-27,0.5898145582,2016-11-02 15:52:56,2016-11-07 12:01:04
13,-53,-11,1.2069664483,2016-11-02 15:52:56,2016-11-07 12:01:04
14,-49,-25,0.3483549708,2016-11-02 15:52:56,2016-11-07 12:01:04
15,-47,-23,0.3712796577,2016-11-02 15:52:56,2016-11-07 12:01:04
16,-45,-3,0.8763525842,2016-11-02 15:52:56,2016-11-07 12:01:04
17,-43,-23,0.3733420788,2016-11-02 15:52:56,2016-11-07 12:01:04
18,-41,-21,0.7444138895,2016-11-02 15:52:56,2016-11-07 12:01:04
