id,lon,lat,weight,clusterStart,clusterEnd
1,-99,19,0.0176288173,2016-10-20 14:28:53,2016-10-26 14:24:57
2,-93,19,0.4529745181,2016-10-20 14:28:53,2016-10-26 14:24:57
3,-89,15,0.0112481639,2016-10-20 14:28:53,2016-10-26 14:24:57
4,-85,13,0.0869046,2016-10-20 14:28:53,2016-10-26 14:24:57
5,-85,15,0.0051012035,2016-10-20 14:28:53,2016-10-26 14:24:57
6,-81,9,0.0324084751,2016-10-20 14:28:53,2016-10-26 14:24:57
7,-75,-7,0.0625541756,2016-10-20 14:28:53,2016-10-26 14:24:57
8,-71,-13,0.0248318117,2016-10-20 14:28:53,2016-10-26 14:24:57
9,-71,19,0.3048665983,2016-10-20 14:28:53,2016-10-26 14:24:57
10,-67,9,0.1210223632,2016-10-20 14:28:53,2016-10-26 14:24:57
11,-65,-35,0.0197743214,2016-10-20 14:28:53,2016-10-26 14:24:57
12,-65,-25,0.014646242,2016-10-20 14:28:53,2016-10-26 14:24:57
13,-65,-17,0.0529425934,2016-10-20 14:28:53,2016-10-26 14:24:57
14,-63,-41,1.0058140129,2016-10-20 14:28:53,2016-10-26 14:24:57
15,-61,-31,0.8849916212,2016-10-20 14:28:53,2016-10-26 14:24:57
16,-59,-35,0.8780516028,2016-10-20 14:28:53,2016-10-26 14:24:57
17,-59,-23,0.1380966685,2016-10-20 14:28:53,2016-10-26 14:24:57
18,-59,-3,0.5168855108,2016-10-20 14:28:53,2016-10-26 14:24:57
19,-57,-35,0.1575811276,2016-10-20 14:28:53,2016-10-26 14:24:57
20,-57,-25,0.0716988677,2016-10-20 14:28:53,2016-10-26 14:24:57
21,-55,-21,0.0283409668,2016-10-20 14:28:53,2016-10-26 14:24:57
22,-53,-25,0.0548264493,2016-10-20 14:28:53,2016-10-26 14:24:57
23,-43,-23,1.5418681136,2016-10-20 14:28:53,2016-10-26 14:24:57
24,-43,-21,0.775834397,2016-10-20 14:28:53,2016-10-26 14:24:57
25,-39,-13,0.589826318,2016-10-20 14:28:53,2016-10-26 14:24:57
26,-35,-9,0.2051854045,2016-10-20 14:28:53,2016-10-26 14:24:57
