id,assigned_to_cluster,timestamp,lon,lat,clusterStart,clusterEnd
566,4,2016-11-07 12:48:04,-74.0852376575,4.63874255,2016-11-07 12:48:04,2016-11-13 00:46:19
565,NA,2016-11-07 13:13:34,-53.4360665,-24.9616761,2016-11-07 12:48:04,2016-11-13 00:46:19
564,16,2016-11-07 14:08:10,-55.8939676,-27.3664866,2016-11-07 12:48:04,2016-11-13 00:46:19
563,12,2016-11-07 14:20:06,-58.4375796,-34.6075797,2016-11-07 12:48:04,2016-11-13 00:46:19
562,NA,2016-11-07 14:21:05,-81.3066245,8.3096067,2016-11-07 12:48:04,2016-11-13 00:46:19
561,23,2016-11-07 14:27:42,-43.2093726,-22.9110136,2016-11-07 12:48:04,2016-11-13 00:46:19
560,NA,2016-11-07 14:27:47,-60.643035677,-31.64727895,2016-11-07 12:48:04,2016-11-13 00:46:19
559,NA,2016-11-07 14:51:09,-52.5321716,-26.9606783,2016-11-07 12:48:04,2016-11-13 00:46:19
558,NA,2016-11-07 14:55:49,-56.0351418,-28.5497033,2016-11-07 12:48:04,2016-11-13 00:46:19
557,23,2016-11-07 15:05:24,-43.1926129,-22.5199629,2016-11-07 12:48:04,2016-11-13 00:46:19
556,4,2016-11-07 15:07:55,-74.0852376575,4.63874255,2016-11-07 12:48:04,2016-11-13 00:46:19
555,4,2016-11-07 15:14:46,-74.0852376575,4.63874255,2016-11-07 12:48:04,2016-11-13 00:46:19
554,NA,2016-11-07 15:40:06,-43.8717675,-16.7273537,2016-11-07 12:48:04,2016-11-13 00:46:19
553,NA,2016-11-07 15:49:46,-55.727467,-22.5236896,2016-11-07 12:48:04,2016-11-13 00:46:19
552,NA,2016-11-07 16:24:36,-67.6017244,10.2513662,2016-11-07 12:48:04,2016-11-13 00:46:19
551,19,2016-11-07 16:26:18,-46.6333823,-23.5506506,2016-11-07 12:48:04,2016-11-13 00:46:19
550,19,2016-11-07 17:44:54,-47.3838888,-22.3569476,2016-11-07 12:48:04,2016-11-13 00:46:19
549,21,2016-11-07 17:54:06,-44.3163259,-23.0063965,2016-11-07 12:48:04,2016-11-13 00:46:19
548,24,2016-11-07 18:16:03,-43.9450947,-19.9227317,2016-11-07 12:48:04,2016-11-13 00:46:19
