id,lon,lat,weight,clusterStart,clusterEnd
1,-99,19,0.347881211,2016-11-13 02:53:46,2016-11-18 23:18:25
2,-97,19,0.005826394,2016-11-13 02:53:46,2016-11-18 23:18:25
3,-85,13,0.2051854022,2016-11-13 02:53:46,2016-11-18 23:18:25
4,-75,5,1.3732390516,2016-11-13 02:53:46,2016-11-18 23:18:25
5,-75,11,0.0167126386,2016-11-13 02:53:46,2016-11-18 23:18:25
6,-67,-9,0.1380966282,2016-11-13 02:53:46,2016-11-18 23:18:25
7,-65,-37,0.0814514015,2016-11-13 02:53:46,2016-11-18 23:18:25
8,-65,-17,0.0929436428,2016-11-13 02:53:46,2016-11-18 23:18:25
9,-63,17,0.0421010493,2016-11-13 02:53:46,2016-11-18 23:18:25
10,-59,-35,0.8954526521,2016-11-13 02:53:46,2016-11-18 23:18:25
11,-59,-27,1,2016-11-13 02:53:46,2016-11-18 23:18:25
12,-57,-35,0.1586946019,2016-11-13 02:53:46,2016-11-18 23:18:25
13,-55,-23,0.2342102972,2016-11-13 02:53:46,2016-11-18 23:18:25
14,-55,-21,0.1798147575,2016-11-13 02:53:46,2016-11-18 23:18:25
15,-53,-27,0.0098573575,2016-11-13 02:53:46,2016-11-18 23:18:25
16,-49,-29,0.014646164,2016-11-13 02:53:46,2016-11-18 23:18:25
17,-49,-19,0.0374284723,2016-11-13 02:53:46,2016-11-18 23:18:25
18,-49,-17,0.0075706177,2016-11-13 02:53:46,2016-11-18 23:18:25
19,-47,-23,0.5584558982,2016-11-13 02:53:46,2016-11-18 23:18:25
20,-47,-21,0.3969648944,2016-11-13 02:53:46,2016-11-18 23:18:25
21,-45,-21,0.1033862767,2016-11-13 02:53:46,2016-11-18 23:18:25
22,-45,-19,0.7679938519,2016-11-13 02:53:46,2016-11-18 23:18:25
23,-43,-23,0.9596385338,2016-11-13 02:53:46,2016-11-18 23:18:25
24,-43,-19,0.0075938847,2016-11-13 02:53:46,2016-11-18 23:18:25
25,-41,-21,0.4258879353,2016-11-13 02:53:46,2016-11-18 23:18:25
26,-39,-13,0.0112777978,2016-11-13 02:53:46,2016-11-18 23:18:25
