id,lon,lat,weight,clusterStart,clusterEnd
1,-103,21,0.1249681653,2016-10-07 17:49:41,2016-10-13 23:44:13
2,-97,19,0.7625290742,2016-10-07 17:49:41,2016-10-13 23:44:13
3,-97,21,0.2051854022,2016-10-07 17:49:41,2016-10-13 23:44:13
4,-93,19,0.1877385017,2016-10-07 17:49:41,2016-10-13 23:44:13
5,-79,-1,0.7682731642,2016-10-07 17:49:41,2016-10-13 23:44:13
6,-75,11,0.0283354122,2016-10-07 17:49:41,2016-10-13 23:44:13
7,-73,11,0.0248334356,2016-10-07 17:49:41,2016-10-13 23:44:13
8,-71,19,0.0814514614,2016-10-07 17:49:41,2016-10-13 23:44:13
9,-61,-33,0.5898145565,2016-10-07 17:49:41,2016-10-13 23:44:13
10,-59,-35,0.6133913515,2016-10-07 17:49:41,2016-10-13 23:44:13
11,-57,-33,0.5168855108,2016-10-07 17:49:41,2016-10-13 23:44:13
12,-55,-27,0.0098783652,2016-10-07 17:49:41,2016-10-13 23:44:13
13,-53,-33,0.0368953676,2016-10-07 17:49:41,2016-10-13 23:44:13
14,-53,-11,1.1270242063,2016-10-07 17:49:41,2016-10-13 23:44:13
15,-53,-3,0.0128352037,2016-10-07 17:49:41,2016-10-13 23:44:13
16,-51,-23,0.0090012584,2016-10-07 17:49:41,2016-10-13 23:44:13
17,-49,-19,0.0713801987,2016-10-07 17:49:41,2016-10-13 23:44:13
18,-49,-17,0.267170633,2016-10-07 17:49:41,2016-10-13 23:44:13
19,-47,-23,0.3514493383,2016-10-07 17:49:41,2016-10-13 23:44:13
20,-45,-21,1.564032145,2016-10-07 17:49:41,2016-10-13 23:44:13
21,-43,-23,0.1510119011,2016-10-07 17:49:41,2016-10-13 23:44:13
22,-43,-19,0.3971093321,2016-10-07 17:49:41,2016-10-13 23:44:13
23,-35,-9,0.1575811274,2016-10-07 17:49:41,2016-10-13 23:44:13
