id,assigned_to_cluster,timestamp,lon,lat,clusterStart,clusterEnd
1903,22,2016-09-21 00:16:28,-43.2093726,-22.9110136,2016-09-21 00:16:28,2016-09-29 22:53:00
1902,NA,2016-09-21 00:57:15,-103.3469981,20.676143,2016-09-21 00:16:28,2016-09-29 22:53:00
1901,22,2016-09-21 01:08:43,-43.2093726,-22.9110136,2016-09-21 00:16:28,2016-09-29 22:53:00
1900,NA,2016-09-21 01:53:49,-51.1873548,-30.0051637,2016-09-21 00:16:28,2016-09-29 22:53:00
1899,NA,2016-09-21 11:32:49,-103.3469981,20.676143,2016-09-21 00:16:28,2016-09-29 22:53:00
1898,NA,2016-09-21 14:22:52,-68.6730602,18.4301115,2016-09-21 00:16:28,2016-09-29 22:53:00
1897,NA,2016-09-21 15:10:45,-67.5681359,-39.0791513,2016-09-21 00:16:28,2016-09-29 22:53:00
1896,NA,2016-09-21 15:34:04,-66.1109317,8.0018709,2016-09-21 00:16:28,2016-09-29 22:53:00
1895,12,2016-09-21 16:19:28,-58.580906,-34.4226933,2016-09-21 00:16:28,2016-09-29 22:53:00
1894,18,2016-09-21 16:59:11,-49.2712361,-25.4295696,2016-09-21 00:16:28,2016-09-29 22:53:00
1893,18,2016-09-21 17:25:18,-48.5251853,-25.5121903,2016-09-21 00:16:28,2016-09-29 22:53:00
1892,NA,2016-09-21 17:53:13,-103.3911246,20.7211036,2016-09-21 00:16:28,2016-09-29 22:53:00
1891,NA,2016-09-21 18:17:47,-99.4177777597,19.2587373,2016-09-21 00:16:28,2016-09-29 22:53:00
1890,22,2016-09-21 18:41:55,-43.2093726,-22.9110136,2016-09-21 00:16:28,2016-09-29 22:53:00
1889,22,2016-09-21 20:33:24,-43.5552282,-22.7155938,2016-09-21 00:16:28,2016-09-29 22:53:00
1888,NA,2016-09-21 22:05:41,-57.9537637,-34.9206796,2016-09-21 00:16:28,2016-09-29 22:53:00
1887,9,2016-09-21 22:06:28,-64.1833189,-31.417339,2016-09-21 00:16:28,2016-09-29 22:53:00
1886,12,2016-09-21 22:14:45,-58.4375796,-34.6075797,2016-09-21 00:16:28,2016-09-29 22:53:00
1885,NA,2016-09-21 22:53:00,-70.5363078,9.5721534,2016-09-21 00:16:28,2016-09-29 22:53:00
1884,2,2016-09-21 23:23:55,-93.0787342831,18.23790195,2016-09-21 00:16:28,2016-09-29 22:53:00
1883,NA,2016-09-22 00:12:54,-44.1040127,-22.5225496,2016-09-21 00:16:28,2016-09-29 22:53:00
1882,NA,2016-09-22 01:02:24,-58.8328657,-27.4720341,2016-09-21 00:16:28,2016-09-29 22:53:00
