id,lon,lat,weight,clusterStart,clusterEnd
1,-103,21,0.3965284582,2016-10-14 01:31:44,2016-10-20 14:26:53
2,-77,-13,0.1575811274,2016-10-14 01:31:44,2016-10-20 14:26:53
3,-75,5,1.0116741918,2016-10-14 01:31:44,2016-10-20 14:26:53
4,-75,11,0.0056827898,2016-10-14 01:31:44,2016-10-20 14:26:53
5,-73,11,0.1380966282,2016-10-14 01:31:44,2016-10-20 14:26:53
6,-67,9,0.3969702305,2016-10-14 01:31:44,2016-10-20 14:26:53
7,-67,19,0.1210214386,2016-10-14 01:31:44,2016-10-20 14:26:53
8,-61,-33,0.4531633627,2016-10-14 01:31:44,2016-10-20 14:26:53
9,-59,-35,0.021782942,2016-10-14 01:31:44,2016-10-20 14:26:53
10,-57,-33,0.0190706787,2016-10-14 01:31:44,2016-10-20 14:26:53
11,-57,-25,0.0098579685,2016-10-14 01:31:44,2016-10-20 14:26:53
12,-57,-19,0.7679938519,2016-10-14 01:31:44,2016-10-20 14:26:53
13,-57,-15,0.6073516344,2016-10-14 01:31:44,2016-10-20 14:26:53
14,-55,-27,0.8355897471,2016-10-14 01:31:44,2016-10-20 14:26:53
15,-53,-27,0.032333347,2016-10-14 01:31:44,2016-10-20 14:26:53
16,-49,-25,0.9204258779,2016-10-14 01:31:44,2016-10-20 14:26:53
17,-49,-19,0.1060573614,2016-10-14 01:31:44,2016-10-20 14:26:53
18,-47,-23,0.9469912791,2016-10-14 01:31:44,2016-10-20 14:26:53
19,-43,-23,0.7360951179,2016-10-14 01:31:44,2016-10-20 14:26:53
20,-43,-19,0.2427805322,2016-10-14 01:31:44,2016-10-20 14:26:53
21,-39,-13,0.0167126386,2016-10-14 01:31:44,2016-10-20 14:26:53
22,-35,-9,0.0838894526,2016-10-14 01:31:44,2016-10-20 14:26:53
23,-35,-5,0.0376982589,2016-10-14 01:31:44,2016-10-20 14:26:53
