id,lon,lat,weight,clusterStart,clusterEnd
1,-101,21,0.3048665983,2016-11-07 12:48:04,2016-11-13 00:46:19
2,-97,23,0.0283354122,2016-11-07 12:48:04,2016-11-13 00:46:19
3,-77,-13,0.1440055771,2016-11-07 12:48:04,2016-11-13 00:46:19
4,-75,5,1.14646662,2016-11-07 12:48:04,2016-11-13 00:46:19
5,-69,-33,0.140984865,2016-11-07 12:48:04,2016-11-13 00:46:19
6,-67,19,0.1798147575,2016-11-07 12:48:04,2016-11-13 00:46:19
7,-65,-31,0.2674217087,2016-11-07 12:48:04,2016-11-13 00:46:19
8,-65,-27,0.0050951257,2016-11-07 12:48:04,2016-11-13 00:46:19
9,-65,-25,0.0368953774,2016-11-07 12:48:04,2016-11-13 00:46:19
10,-63,-31,0.5898145565,2016-11-07 12:48:04,2016-11-13 00:46:19
11,-61,-33,0.4529740265,2016-11-07 12:48:04,2016-11-13 00:46:19
12,-59,-35,0.069161497,2016-11-07 12:48:04,2016-11-13 00:46:19
13,-57,-37,0.0248318117,2016-11-07 12:48:04,2016-11-13 00:46:19
14,-57,-35,0.0908196692,2016-11-07 12:48:04,2016-11-13 00:46:19
15,-57,-33,0.0086385207,2016-11-07 12:48:04,2016-11-13 00:46:19
16,-55,-27,0.2646943173,2016-11-07 12:48:04,2016-11-13 00:46:19
17,-51,-29,0.516886192,2016-11-07 12:48:04,2016-11-13 00:46:19
18,-49,-27,1.3969650267,2016-11-07 12:48:04,2016-11-13 00:46:19
19,-47,-23,0.1586990182,2016-11-07 12:48:04,2016-11-13 00:46:19
20,-47,-15,0.347881211,2016-11-07 12:48:04,2016-11-13 00:46:19
21,-45,-23,0.767993852,2016-11-07 12:48:04,2016-11-13 00:46:19
22,-45,-3,0.0421010493,2016-11-07 12:48:04,2016-11-13 00:46:19
23,-43,-23,0.0090498201,2016-11-07 12:48:04,2016-11-13 00:46:19
24,-43,-19,0.7444504883,2016-11-07 12:48:04,2016-11-13 00:46:19
25,-41,-21,0.1210241016,2016-11-07 12:48:04,2016-11-13 00:46:19
26,-35,-9,0.20654667,2016-11-07 12:48:04,2016-11-13 00:46:19
