id,lon,lat,weight,clusterStart,clusterEnd
1,-97,17,0.2051854022,2016-09-10 14:14:34,2016-09-21 00:01:41
2,-89,13,0.6730333967,2016-09-10 14:14:34,2016-09-21 00:01:41
3,-89,19,0.4529740311,2016-09-10 14:14:34,2016-09-21 00:01:41
4,-89,21,0.3052356168,2016-09-10 14:14:34,2016-09-21 00:01:41
5,-85,11,0.347881211,2016-09-10 14:14:34,2016-09-21 00:01:41
6,-75,5,0.2949636382,2016-09-10 14:14:34,2016-09-21 00:01:41
7,-73,11,0.0217614224,2016-09-10 14:14:34,2016-09-21 00:01:41
8,-71,-33,0.1798147575,2016-09-10 14:14:34,2016-09-21 00:01:41
9,-67,9,0.0713807118,2016-09-10 14:14:34,2016-09-21 00:01:41
10,-67,11,0.0625541757,2016-09-10 14:14:34,2016-09-21 00:01:41
11,-61,-33,1.0000153118,2016-09-10 14:14:34,2016-09-21 00:01:41
12,-61,-27,0.1380966282,2016-09-10 14:14:34,2016-09-21 00:01:41
13,-59,-35,0.1011423751,2016-09-10 14:14:34,2016-09-21 00:01:41
14,-59,-3,0.1575811274,2016-09-10 14:14:34,2016-09-21 00:01:41
15,-55,-27,0.0145209121,2016-09-10 14:14:34,2016-09-21 00:01:41
16,-53,-25,0.0548195134,2016-09-10 14:14:34,2016-09-21 00:01:41
17,-53,-11,0.134395187,2016-09-10 14:14:34,2016-09-21 00:01:41
18,-51,-29,0.014646164,2016-09-10 14:14:34,2016-09-21 00:01:41
19,-51,-23,0.4505888792,2016-09-10 14:14:34,2016-09-21 00:01:41
20,-49,-29,0.0128352037,2016-09-10 14:14:34,2016-09-21 00:01:41
21,-47,-23,2.2111781344,2016-09-10 14:14:34,2016-09-21 00:01:41
22,-43,-23,1.1600310627,2016-09-10 14:14:34,2016-09-21 00:01:41
