id,assigned_to_cluster,timestamp,lon,lat,clusterStart,clusterEnd
1474,19,2016-10-09 16:26:14,-46.3338889,-23.9608329,2016-10-07 17:49:41,2016-10-13 23:44:13
1473,NA,2016-10-09 16:31:41,-51.1608721,-29.8197018,2016-10-07 17:49:41,2016-10-13 23:44:13
1472,19,2016-10-09 17:25:07,-46.6333823,-23.5506506,2016-10-07 17:49:41,2016-10-13 23:44:13
1471,NA,2016-10-09 17:32:53,-98.7297429087,20.06069985,2016-10-07 17:49:41,2016-10-13 23:44:13
1470,21,2016-10-09 17:36:50,-43.7331074,-22.5268468,2016-10-07 17:49:41,2016-10-13 23:44:13
1469,NA,2016-10-09 18:20:26,-74.0852376575,4.63874255,2016-10-07 17:49:41,2016-10-13 23:44:13
1468,NA,2016-10-09 22:03:48,-99.1701223012,18.88638935,2016-10-07 17:49:41,2016-10-13 23:44:13
1467,12,2016-10-09 23:48:40,-54.4315256,-26.7372239,2016-10-07 17:49:41,2016-10-13 23:44:13
1466,10,2016-10-10 00:08:12,-58.580906,-34.4226933,2016-10-07 17:49:41,2016-10-13 23:44:13
1465,NA,2016-10-10 00:19:34,-48.9106249,-20.7366339,2016-10-07 17:49:41,2016-10-13 23:44:13
1464,22,2016-10-10 01:15:06,-43.2265669,-19.6186314,2016-10-07 17:49:41,2016-10-13 23:44:13
1463,NA,2016-10-10 01:44:15,-52.6188986,-27.1011803,2016-10-07 17:49:41,2016-10-13 23:44:13
1462,NA,2016-10-10 13:45:21,-35.3160759,-7.5118821,2016-10-07 17:49:41,2016-10-13 23:44:13
1461,10,2016-10-10 14:25:59,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1460,22,2016-10-10 14:53:03,-43.6006486,-18.2440861,2016-10-07 17:49:41,2016-10-13 23:44:13
1459,19,2016-10-10 16:46:59,-46.3847023,-23.9603685,2016-10-07 17:49:41,2016-10-13 23:44:13
1458,17,2016-10-10 17:02:19,-48.2767836,-18.918804,2016-10-07 17:49:41,2016-10-13 23:44:13
1457,8,2016-10-10 17:20:47,-70.3028025,19.0974031,2016-10-07 17:49:41,2016-10-13 23:44:13
1456,NA,2016-10-10 17:24:08,-55.5317693,-30.8894096,2016-10-07 17:49:41,2016-10-13 23:44:13
1455,NA,2016-10-10 17:33:00,-87.0750071863,20.98154135,2016-10-07 17:49:41,2016-10-13 23:44:13
1454,NA,2016-10-10 17:55:09,-74.0852376575,4.63874255,2016-10-07 17:49:41,2016-10-13 23:44:13
1453,NA,2016-10-10 18:19:06,-45.4524316,-22.423739,2016-10-07 17:49:41,2016-10-13 23:44:13
1452,NA,2016-10-10 18:26:16,-98.1165182888,22.5630208,2016-10-07 17:49:41,2016-10-13 23:44:13
1451,21,2016-10-10 18:33:39,-43.2093726,-22.9110136,2016-10-07 17:49:41,2016-10-13 23:44:13
1450,21,2016-10-10 19:20:07,-43.2093726,-22.9110136,2016-10-07 17:49:41,2016-10-13 23:44:13
1449,NA,2016-10-10 19:38:17,-51.2304999,-30.0329999,2016-10-07 17:49:41,2016-10-13 23:44:13
1448,NA,2016-10-10 20:20:32,-68.3073245,-54.8069331,2016-10-07 17:49:41,2016-10-13 23:44:13
1447,NA,2016-10-10 21:20:20,-99.2211221,19.3811859,2016-10-07 17:49:41,2016-10-13 23:44:13
1446,NA,2016-10-10 21:52:28,-65.4101932,-24.7893822,2016-10-07 17:49:41,2016-10-13 23:44:13
1445,NA,2016-10-10 21:52:44,-65.4101932,-24.7893822,2016-10-07 17:49:41,2016-10-13 23:44:13
1444,NA,2016-10-10 22:05:01,-99.1333415,19.4326009,2016-10-07 17:49:41,2016-10-13 23:44:13
1443,NA,2016-10-10 22:37:43,-87.0750071863,20.98154135,2016-10-07 17:49:41,2016-10-13 23:44:13
1442,NA,2016-10-10 23:07:03,-98.9093022316,19.6367165,2016-10-07 17:49:41,2016-10-13 23:44:13
1441,NA,2016-10-10 23:25:41,-54.2264586,-24.6270544,2016-10-07 17:49:41,2016-10-13 23:44:13
1440,NA,2016-10-10 23:56:13,-54.6162946,-20.4640172,2016-10-07 17:49:41,2016-10-13 23:44:13
1439,NA,2016-10-11 01:13:40,-88.3057198,13.8476792,2016-10-07 17:49:41,2016-10-13 23:44:13
1438,19,2016-10-11 01:20:02,-46.3338889,-23.9608329,2016-10-07 17:49:41,2016-10-13 23:44:13
1437,19,2016-10-11 02:01:28,-46.6333823,-23.5506506,2016-10-07 17:49:41,2016-10-13 23:44:13
1436,4,2016-10-11 02:07:54,-92.7747840053,18.0271663,2016-10-07 17:49:41,2016-10-13 23:44:13
1435,NA,2016-10-11 02:08:23,-60.643035677,-31.64727895,2016-10-07 17:49:41,2016-10-13 23:44:13
1434,NA,2016-10-11 02:26:23,-51.0693237,0.0460699,2016-10-07 17:49:41,2016-10-13 23:44:13
1433,2,2016-10-11 02:29:36,-97.9999999,18.833333,2016-10-07 17:49:41,2016-10-13 23:44:13
1432,7,2016-10-11 02:34:36,-72.9069783,11.544634,2016-10-07 17:49:41,2016-10-13 23:44:13
1431,NA,2016-10-11 02:43:11,-54.6162946,-20.4640172,2016-10-07 17:49:41,2016-10-13 23:44:13
1430,NA,2016-10-11 02:54:06,-48.487569,-27.1519158,2016-10-07 17:49:41,2016-10-13 23:44:13
1429,19,2016-10-11 03:23:59,-47.3313863,-22.7391769,2016-10-07 17:49:41,2016-10-13 23:44:13
1428,10,2016-10-11 03:24:37,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1427,NA,2016-10-11 03:44:27,-47.9764906,-16.0686393,2016-10-07 17:49:41,2016-10-13 23:44:13
1426,14,2016-10-11 03:53:05,-53.1999999,-10.3333332,2016-10-07 17:49:41,2016-10-13 23:44:13
1425,19,2016-10-11 03:54:54,-46.6333823,-23.5506506,2016-10-07 17:49:41,2016-10-13 23:44:13
1424,NA,2016-10-11 04:09:18,-71.6196748,-33.0458455,2016-10-07 17:49:41,2016-10-13 23:44:13
1423,10,2016-10-11 05:21:59,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1422,4,2016-10-11 05:26:32,-92.7747840053,18.0271663,2016-10-07 17:49:41,2016-10-13 23:44:13
1421,21,2016-10-11 05:57:01,-43.1154551,-22.883237,2016-10-07 17:49:41,2016-10-13 23:44:13
1420,NA,2016-10-11 06:06:12,-99.1333415,19.4326009,2016-10-07 17:49:41,2016-10-13 23:44:13
1419,NA,2016-10-11 06:22:00,-60.643035677,-31.64727895,2016-10-07 17:49:41,2016-10-13 23:44:13
1418,14,2016-10-11 06:26:49,-53.1999999,-10.3333332,2016-10-07 17:49:41,2016-10-13 23:44:13
1417,10,2016-10-11 15:15:53,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1416,NA,2016-10-11 15:39:03,-81.3066245,8.3096067,2016-10-07 17:49:41,2016-10-13 23:44:13
1415,NA,2016-10-11 16:42:19,-89.6236999,20.9671405,2016-10-07 17:49:41,2016-10-13 23:44:13
1414,21,2016-10-11 17:05:04,-43.3099289,-22.7896224,2016-10-07 17:49:41,2016-10-13 23:44:13
1413,NA,2016-10-11 17:52:44,-48.6669851,-26.9117878,2016-10-07 17:49:41,2016-10-13 23:44:13
1412,NA,2016-10-11 18:03:19,-64.1833189,-31.417339,2016-10-07 17:49:41,2016-10-13 23:44:13
1411,NA,2016-10-11 18:25:32,-64.9912285,-17.0568695,2016-10-07 17:49:41,2016-10-13 23:44:13
1410,NA,2016-10-11 18:26:18,-54.9692189,-20.9302119,2016-10-07 17:49:41,2016-10-13 23:44:13
1409,1,2016-10-11 19:13:16,-103.3469981,20.676143,2016-10-07 17:49:41,2016-10-13 23:44:13
1408,NA,2016-10-11 19:21:55,-51.2304999,-30.0329999,2016-10-07 17:49:41,2016-10-13 23:44:13
1407,16,2016-10-11 20:27:21,-51.9382845,-23.425104,2016-10-07 17:49:41,2016-10-13 23:44:13
1406,21,2016-10-11 22:36:17,-43.2093726,-22.9110136,2016-10-07 17:49:41,2016-10-13 23:44:13
1405,NA,2016-10-11 23:00:30,-35.0905245,-6.1872964,2016-10-07 17:49:41,2016-10-13 23:44:13
1404,10,2016-10-12 00:24:42,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1403,NA,2016-10-12 00:38:02,-35.2080904,-5.8053979,2016-10-07 17:49:41,2016-10-13 23:44:13
1402,NA,2016-10-12 00:41:32,-40.3064476,-20.125296,2016-10-07 17:49:41,2016-10-13 23:44:13
1401,10,2016-10-12 00:44:26,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1400,NA,2016-10-12 01:10:20,-60.643035677,-31.64727895,2016-10-07 17:49:41,2016-10-13 23:44:13
1399,NA,2016-10-12 01:29:34,-42.9355468,-13.6101505,2016-10-07 17:49:41,2016-10-13 23:44:13
1398,22,2016-10-12 02:58:37,-42.6436107,-19.5771394,2016-10-07 17:49:41,2016-10-13 23:44:13
1397,NA,2016-10-12 03:40:03,-87.0750071863,20.98154135,2016-10-07 17:49:41,2016-10-13 23:44:13
1396,4,2016-10-12 04:32:03,-92.7747840053,18.0271663,2016-10-07 17:49:41,2016-10-13 23:44:13
1395,NA,2016-10-12 05:32:03,-99.1333415,19.4326009,2016-10-07 17:49:41,2016-10-13 23:44:13
1394,21,2016-10-12 05:34:07,-43.2093726,-22.9110136,2016-10-07 17:49:41,2016-10-13 23:44:13
1393,5,2016-10-12 06:30:24,-78.5123273,-0.220164,2016-10-07 17:49:41,2016-10-13 23:44:13
1392,16,2016-10-12 10:37:16,-51.9382845,-23.425104,2016-10-07 17:49:41,2016-10-13 23:44:13
1391,NA,2016-10-12 14:00:53,-51.1429034,-29.6905704,2016-10-07 17:49:41,2016-10-13 23:44:13
1390,NA,2016-10-12 14:14:31,-66.9408584,10.5101037,2016-10-07 17:49:41,2016-10-13 23:44:13
1389,NA,2016-10-12 14:27:57,-48.6692859,-27.645889,2016-10-07 17:49:41,2016-10-13 23:44:13
1388,14,2016-10-12 15:06:44,-53.1999999,-10.3333332,2016-10-07 17:49:41,2016-10-13 23:44:13
1387,NA,2016-10-12 15:27:26,-81.3066245,8.3096067,2016-10-07 17:49:41,2016-10-13 23:44:13
1386,NA,2016-10-12 15:45:26,-67.5681359,-39.0791513,2016-10-07 17:49:41,2016-10-13 23:44:13
1385,NA,2016-10-12 16:13:27,-57.9537637,-34.9206796,2016-10-07 17:49:41,2016-10-13 23:44:13
1384,NA,2016-10-12 16:16:25,-65.4101932,-24.7893822,2016-10-07 17:49:41,2016-10-13 23:44:13
1383,NA,2016-10-12 16:25:08,-66.1109317,8.0018709,2016-10-07 17:49:41,2016-10-13 23:44:13
1382,14,2016-10-12 16:31:54,-53.1999999,-10.3333332,2016-10-07 17:49:41,2016-10-13 23:44:13
1381,2,2016-10-12 16:48:47,-97.9999999,18.833333,2016-10-07 17:49:41,2016-10-13 23:44:13
1380,2,2016-10-12 16:53:40,-97.9999999,18.833333,2016-10-07 17:49:41,2016-10-13 23:44:13
1379,2,2016-10-12 17:05:23,-97.9999999,18.833333,2016-10-07 17:49:41,2016-10-13 23:44:13
1378,NA,2016-10-12 17:30:57,-74.0852376575,4.63874255,2016-10-07 17:49:41,2016-10-13 23:44:13
1377,12,2016-10-12 17:45:43,-55.8939676,-27.3664866,2016-10-07 17:49:41,2016-10-13 23:44:13
1376,4,2016-10-12 19:12:49,-92.7747840053,18.0271663,2016-10-07 17:49:41,2016-10-13 23:44:13
1375,21,2016-10-12 20:07:09,-43.3099289,-22.7896224,2016-10-07 17:49:41,2016-10-13 23:44:13
1374,NA,2016-10-12 20:11:04,-84.8700307,12.3724928,2016-10-07 17:49:41,2016-10-13 23:44:13
1373,1,2016-10-12 21:04:48,-102.0222476,20.3412296,2016-10-07 17:49:41,2016-10-13 23:44:13
1372,NA,2016-10-12 21:19:16,-100.4856840609,20.72589685,2016-10-07 17:49:41,2016-10-13 23:44:13
1371,4,2016-10-12 21:31:45,-92.7747840053,18.0271663,2016-10-07 17:49:41,2016-10-13 23:44:13
1370,NA,2016-10-12 21:33:51,-36.9182756,-6.8677853,2016-10-07 17:49:41,2016-10-13 23:44:13
1369,NA,2016-10-12 22:11:39,-59.3539577,-31.6252841,2016-10-07 17:49:41,2016-10-13 23:44:13
1368,12,2016-10-12 22:58:03,-55.8939676,-27.3664866,2016-10-07 17:49:41,2016-10-13 23:44:13
1367,16,2016-10-13 00:05:54,-51.1595022,-23.3112877,2016-10-07 17:49:41,2016-10-13 23:44:13
1366,10,2016-10-13 00:36:34,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1365,19,2016-10-13 00:45:53,-46.3338889,-23.9608329,2016-10-07 17:49:41,2016-10-13 23:44:13
1364,15,2016-10-13 01:37:39,-52.2099609,-3.2040649,2016-10-07 17:49:41,2016-10-13 23:44:13
1363,20,2016-10-13 01:51:57,-44.5763889,-20.0755559,2016-10-07 17:49:41,2016-10-13 23:44:13
1362,21,2016-10-13 03:03:09,-43.2093726,-22.9110136,2016-10-07 17:49:41,2016-10-13 23:44:13
1361,21,2016-10-13 03:15:17,-42.3428896,-22.8733202,2016-10-07 17:49:41,2016-10-13 23:44:13
1360,21,2016-10-13 03:34:45,-42.5325302,-22.2800003,2016-10-07 17:49:41,2016-10-13 23:44:13
1359,7,2016-10-13 04:03:20,-73.3758956704,10.3430015,2016-10-07 17:49:41,2016-10-13 23:44:13
1358,6,2016-10-13 04:10:16,-74.6017516676,10.9107812,2016-10-07 17:49:41,2016-10-13 23:44:13
1357,14,2016-10-13 05:16:19,-53.1999999,-10.3333332,2016-10-07 17:49:41,2016-10-13 23:44:13
1356,13,2016-10-13 06:23:32,-52.0991296,-32.0334251,2016-10-07 17:49:41,2016-10-13 23:44:13
1355,21,2016-10-13 08:47:58,-42.3428896,-22.8733202,2016-10-07 17:49:41,2016-10-13 23:44:13
1354,21,2016-10-13 10:33:46,-43.3724124,-22.8043743,2016-10-07 17:49:41,2016-10-13 23:44:13
