"id","assigned_to_cluster","timestamp","lon","lat",
"1901",10,"2016-09-21 01:08:43",-43.2093726,-22.9110136,
"1900",4,"2016-09-21 01:53:49",-51.1873548,-30.0051637,
"1899",NA,"2016-09-21 11:32:49",-103.3469981,20.676143,
"1898",NA,"2016-09-21 14:22:52",-68.6730602,18.4301115,
"1897",NA,"2016-09-21 15:10:45",-67.5681359,-39.0791513,
"1896",NA,"2016-09-21 15:34:04",-66.1109317,8.0018709,
"1895",2,"2016-09-21 16:19:28",-58.580906,-34.4226933,
"1894",7,"2016-09-21 16:59:11",-49.2712361,-25.4295696,
"1893",7,"2016-09-21 17:25:18",-48.5251853,-25.5121903,
"1892",NA,"2016-09-21 17:53:13",-103.3911246,20.7211036,
"1891",NA,"2016-09-21 18:17:47",-99.4177777597143,19.2587373,
"1890",10,"2016-09-21 18:41:55",-43.2093726,-22.9110136,
"1889",10,"2016-09-21 20:33:24",-43.5552282,-22.7155938,
"1888",2,"2016-09-21 22:05:41",-57.9537637,-34.9206796,
"1887",1,"2016-09-21 22:06:28",-64.1833189,-31.417339,
"1886",2,"2016-09-21 22:14:45",-58.4375796,-34.6075797,
"1885",NA,"2016-09-21 22:53:00",-70.5363078,9.5721534,
"1884",NA,"2016-09-21 23:23:55",-93.0787342831472,18.23790195,
"1883",10,"2016-09-22 00:12:54",-44.1040127,-22.5225496,
"1882",3,"2016-09-22 01:02:24",-58.8328657,-27.4720341,
"1881",NA,"2016-09-22 01:50:46",-65.4101932,-24.7893822,
"1880",NA,"2016-09-22 20:02:36",-100.238895195087,21.3863845,
"1879",NA,"2016-09-22 20:53:17",-77.0259063168439,-12.12149795,
"1878",NA,"2016-09-22 21:25:50",-75.5735529,6.2443382,
"1877",11,"2016-09-22 22:30:28",-40.62637,-19.54786,
"1876",8,"2016-09-22 23:08:31",-46.6333823,-23.5506506,
"1875",10,"2016-09-23 02:40:12",-43.2093726,-22.9110136,
"1874",2,"2016-09-23 02:56:01",-58.6217415,-34.6510526,
"1873",3,"2016-09-23 04:01:29",-58.9865645,-27.4511042,
"1872",3,"2016-09-23 04:02:40",-58.9865645,-27.4511042,
"1871",2,"2016-09-23 04:32:51",-58.4375796,-34.6075797,
"1870",NA,"2016-09-23 04:48:02",-60.4289717,-24.5955305,
"1869",1,"2016-09-23 05:03:13",-60.6430356770138,-31.64727895,
"1868",NA,"2016-09-23 05:23:29",-74.085237657545,4.63874255,
"1867",2,"2016-09-23 05:52:50",-58.4375796,-34.6075797,
"1866",NA,"2016-09-23 06:44:35",-93.1883585891972,18.3623055,
"1865",9,"2016-09-23 06:56:01",-48.3065806,-18.3867318,
"1864",9,"2016-09-23 06:56:47",-48.3065806,-18.3867318,
"1863",6,"2016-09-23 13:42:50",-51.9382845,-23.425104,
"1862",8,"2016-09-23 15:55:24",-46.6333823,-23.5506506,
"1861",NA,"2016-09-23 16:15:25",-53.1999999,-10.3333332,
"1860",NA,"2016-09-23 16:20:28",-92.7747840052769,18.0271663,
"1859",NA,"2016-09-23 16:24:42",-99.2912448087765,19.47436575,
"1858",NA,"2016-09-23 16:56:34",-74.085237657545,4.63874255,
"1857",NA,"2016-09-23 17:48:25",-74.6550166,5.4648005,
"1856",NA,"2016-09-23 18:15:35",-97.9999999,18.833333,
"1855",11,"2016-09-23 18:58:42",-43.9450947,-19.9227317,
"1854",3,"2016-09-23 20:57:06",-58.9865645,-27.4511042,
"1853",NA,"2016-09-23 21:17:54",-63.4668976,-41.1599622,
"1852",10,"2016-09-23 21:53:42",-43.2093726,-22.9110136,
"1851",8,"2016-09-23 21:56:07",-46.6333823,-23.5506506,
"1850",NA,"2016-09-23 22:39:17",-57.5482702,-37.9977224,
"1849",2,"2016-09-23 22:48:03",-58.4375796,-34.6075797,
"1848",NA,"2016-09-23 23:09:15",-75.5735529,6.2443382,
"1847",NA,"2016-09-23 23:17:09",-76.1233797193955,4.06397,
"1846",NA,"2016-09-23 23:30:45",-66.1109317,8.0018709,
"1845",NA,"2016-09-24 00:36:46",-65.4101932,-24.7893822,
"1844",NA,"2016-09-24 01:05:01",-68.9640917594077,12.1845,
"1843",10,"2016-09-24 01:30:39",-43.2093726,-22.9110136,
"1842",NA,"2016-09-24 02:11:00",-94.1623629522383,18.0899541,
"1841",10,"2016-09-24 04:18:45",-42.0189226,-22.8804368,
"1840",NA,"2016-09-24 04:46:03",-61.5650443,16.2490067,
"1839",10,"2016-09-24 04:59:16",-43.2093726,-22.9110136,
"1838",NA,"2016-09-24 05:29:21",-96.9238792,19.5274085,
"1837",10,"2016-09-24 05:37:05",-40.3016326,-20.2996825,
"1836",2,"2016-09-24 05:44:03",-56.0201524,-32.8755547,
"1835",NA,"2016-09-24 05:44:30",-96.9238792,19.5274085,
"1834",NA,"2016-09-24 06:06:17",-94.3777590645784,18.1367924,
"1833",7,"2016-09-24 06:28:14",-48.5251853,-25.5121903,
"1832",NA,"2016-09-24 06:41:27",-92.7747840052769,18.0271663,
"1831",NA,"2016-09-24 13:31:00",-99.8471242,16.8512622,
"1830",10,"2016-09-24 13:57:22",-43.3501128,-21.7609532,
"1829",NA,"2016-09-24 15:27:32",-97.9999999,18.833333,
"1828",2,"2016-09-24 16:26:04",-58.4375796,-34.6075797,
"1827",NA,"2016-09-24 17:05:22",-103.9999999,19.166667,
"1826",NA,"2016-09-24 17:13:20",-92.483122032414,17.95078635,
"1825",NA,"2016-09-24 20:00:47",-37.0774654,-10.916206,
"1824",10,"2016-09-24 20:14:02",-43.4138221,-22.8080113,
"1823",NA,"2016-09-24 20:39:38",-51.0693237,0.0460699,
"1822",NA,"2016-09-24 20:50:02",-38.312769,-12.8924199,
"1821",NA,"2016-09-24 22:13:50",-92.7747840052769,18.0271663,
"1820",3,"2016-09-24 22:13:57",-55.8333329,-26.8333329,
"1819",NA,"2016-09-24 22:17:47",-78.7333329,0.35,
"1818",10,"2016-09-24 23:02:19",-43.2093726,-22.9110136,
"1817",11,"2016-09-24 23:36:44",-43.9450947,-19.9227317,
"1816",NA,"2016-09-24 23:39:51",-63.7542759,-35.6635984,
"1815",4,"2016-09-25 01:01:05",-51.9799161,-31.3658951,
"1814",11,"2016-09-25 03:54:16",-44.0840952,-19.9132748,
"1813",11,"2016-09-25 04:00:55",-42.6436107,-19.5771394,
"1812",NA,"2016-09-25 04:39:54",-84.8700307,12.3724928,
"1811",NA,"2016-09-25 05:15:59",-91.4129737779021,18.4525195,
"1810",6,"2016-09-25 06:15:29",-54.6162946,-20.4640172,
"1809",10,"2016-09-25 06:41:47",-40.4984616,-20.6718754,
"1808",11,"2016-09-25 07:01:11",-42.6282685,-19.5200066,
"1807",NA,"2016-09-25 07:50:11",-38.5217988,-3.7304511,
"1806",NA,"2016-09-25 07:55:51",-38.4812771,-12.9822498,
