"id","assigned_to_cluster","timestamp"
"1537",13,"2016-10-09 17:36:50"
"1538",NA,"2016-10-09 17:32:53"
"1539",11,"2016-10-09 17:25:07"
"1540",8,"2016-10-09 16:31:41"
"1541",11,"2016-10-09 16:26:14"
"1542",4,"2016-10-09 16:14:16"
"1543",13,"2016-10-09 12:25:38"
"1544",7,"2016-10-09 06:35:05"
"1545",NA,"2016-10-09 00:35:32"
"1546",9,"2016-10-09 00:00:21"
"1547",9,"2016-10-08 23:56:53"
"1548",7,"2016-10-08 23:41:50"
"1549",4,"2016-10-08 22:55:25"
"1550",9,"2016-10-08 22:53:32"
"1551",12,"2016-10-08 21:26:11"
"1552",13,"2016-10-08 20:42:39"
"1553",13,"2016-10-08 19:27:51"
"1554",14,"2016-10-08 19:21:15"
"1555",NA,"2016-10-08 18:10:22"
"1556",4,"2016-10-08 17:14:29"
"1557",5,"2016-10-08 16:59:01"
"1558",4,"2016-10-08 16:49:56"
"1559",13,"2016-10-08 16:46:14"
"1560",4,"2016-10-08 16:26:17"
"1561",4,"2016-10-08 16:15:58"
"1562",7,"2016-10-08 15:08:51"
"1563",NA,"2016-10-08 15:03:03"
"1564",NA,"2016-10-08 14:47:45"
"1565",11,"2016-10-08 14:29:08"
"1566",4,"2016-10-08 13:26:00"
"1567",11,"2016-10-08 11:28:59"
"1568",5,"2016-10-08 06:48:48"
"1569",8,"2016-10-08 06:21:07"
"1570",NA,"2016-10-08 05:56:33"
"1571",7,"2016-10-08 04:45:57"
"1572",NA,"2016-10-08 03:27:28"
"1573",13,"2016-10-08 03:25:19"
"1574",NA,"2016-10-08 03:12:15"
"1575",NA,"2016-10-08 02:30:42"
"1576",NA,"2016-10-08 01:25:02"
"1577",5,"2016-10-08 00:04:12"
"1578",14,"2016-10-07 23:59:44"
"1579",8,"2016-10-07 23:41:54"
"1580",1,"2016-10-07 23:18:11"
"1581",5,"2016-10-07 23:00:14"
"1582",13,"2016-10-07 21:27:24"
"1583",4,"2016-10-07 21:23:28"
"1584",8,"2016-10-07 21:13:34"
"1585",10,"2016-10-07 19:33:21"
"1586",NA,"2016-10-07 19:05:38"
"1587",NA,"2016-10-07 18:13:07"
"1588",NA,"2016-10-07 17:49:41"
"1589",NA,"2016-10-07 17:49:40"
"1590",NA,"2016-10-07 17:39:59"
"1591",NA,"2016-10-07 17:04:08"
"1592",NA,"2016-10-07 15:56:41"
"1593",5,"2016-10-07 14:54:15"
"1594",NA,"2016-10-07 14:39:46"
"1595",NA,"2016-10-07 14:39:07"
"1596",NA,"2016-10-07 14:25:59"
"1597",13,"2016-10-07 14:24:27"
"1598",NA,"2016-10-07 14:19:53"
"1599",11,"2016-10-07 14:17:02"
"1600",11,"2016-10-07 14:02:59"
"1601",NA,"2016-10-07 13:47:11"
"1602",11,"2016-10-07 13:01:16"
"1603",NA,"2016-10-07 12:41:24"
"1604",13,"2016-10-07 07:24:38"
"1605",NA,"2016-10-07 06:55:30"
"1606",11,"2016-10-07 06:36:13"
"1607",NA,"2016-10-07 04:06:11"
"1608",NA,"2016-10-07 04:05:37"
"1609",NA,"2016-10-07 03:15:52"
"1610",4,"2016-10-07 02:14:01"
"1611",14,"2016-10-07 00:44:44"
"1612",NA,"2016-10-07 00:41:32"
"1613",13,"2016-10-06 23:23:19"
"1614",NA,"2016-10-06 22:41:10"
"1615",NA,"2016-10-06 22:24:44"
"1616",4,"2016-10-06 22:16:20"
"1617",4,"2016-10-06 22:15:17"
"1618",13,"2016-10-06 21:41:28"
"1619",9,"2016-10-06 19:47:49"
"1620",NA,"2016-10-06 19:15:37"
"1621",13,"2016-10-06 18:18:10"
"1622",2,"2016-10-06 01:51:11"
"1623",13,"2016-10-06 01:24:22"
"1624",NA,"2016-10-06 00:56:43"
"1625",NA,"2016-10-06 00:55:03"
"1626",NA,"2016-10-06 00:49:11"
"1627",NA,"2016-10-06 00:12:54"
"1628",8,"2016-10-05 23:06:42"
"1629",NA,"2016-10-05 22:21:35"
"1630",11,"2016-10-05 19:42:54"
"1631",NA,"2016-10-05 19:35:13"
"1632",13,"2016-10-05 18:59:15"
"1633",NA,"2016-10-05 17:20:01"
"1634",12,"2016-10-05 16:46:34"
"1635",4,"2016-10-05 16:24:33"
"1636",1,"2016-10-05 15:58:14"
"1637",NA,"2016-10-05 15:38:29"
"1638",13,"2016-10-05 15:04:22"
"1639",NA,"2016-10-05 14:49:38"
"1640",NA,"2016-10-05 13:48:40"
"1641",NA,"2016-10-05 12:46:11"
"1642",13,"2016-10-05 06:00:19"
"1643",NA,"2016-10-05 05:53:34"
"1644",13,"2016-10-05 05:48:42"
"1645",8,"2016-10-05 05:47:54"
"1646",NA,"2016-10-05 03:52:59"
"1647",4,"2016-10-05 03:45:54"
"1648",2,"2016-10-05 03:43:44"
"1649",13,"2016-10-05 03:43:31"
"1650",NA,"2016-10-05 03:30:14"
"1651",NA,"2016-10-05 03:19:58"
"1652",13,"2016-10-05 03:00:27"
"1653",NA,"2016-10-05 02:48:53"
"1654",13,"2016-10-04 23:16:45"
"1655",NA,"2016-10-04 22:41:32"
"1656",NA,"2016-10-04 21:38:10"
"1657",2,"2016-10-04 21:00:05"
"1658",13,"2016-10-04 20:43:31"
"1659",11,"2016-10-04 20:37:58"
"1660",1,"2016-10-04 19:31:01"
"1661",10,"2016-10-04 19:28:51"
"1662",13,"2016-10-04 18:59:06"
"1663",13,"2016-10-04 16:50:28"
"1664",4,"2016-10-04 16:46:44"
"1665",NA,"2016-10-04 14:24:27"
"1666",8,"2016-10-04 12:32:22"
"1667",1,"2016-10-04 06:23:56"
"1668",13,"2016-10-04 05:51:53"
"1669",NA,"2016-10-04 05:24:11"
"1670",NA,"2016-10-04 05:22:11"
"1671",11,"2016-10-04 05:21:32"
"1672",NA,"2016-10-04 04:43:59"
"1673",10,"2016-10-04 04:31:57"
"1674",3,"2016-10-04 04:05:57"
"1675",NA,"2016-10-04 02:25:47"
"1676",NA,"2016-10-04 02:22:07"
"1677",10,"2016-10-04 02:16:39"
"1678",12,"2016-10-04 01:55:25"
"1679",8,"2016-10-04 01:41:22"
"1680",2,"2016-10-04 00:59:48"
"1681",NA,"2016-10-04 00:43:22"
"1682",11,"2016-10-04 00:30:10"
"1683",NA,"2016-10-04 00:06:44"
"1684",11,"2016-10-03 23:33:47"
"1685",13,"2016-10-03 23:13:06"
"1686",NA,"2016-10-03 22:17:25"
"1687",NA,"2016-10-03 22:03:17"
"1688",2,"2016-10-03 21:23:40"
"1689",NA,"2016-10-03 20:16:07"
"1690",11,"2016-10-03 18:31:01"
"1691",NA,"2016-10-03 18:19:54"
"1692",11,"2016-10-03 01:47:57"
"1693",NA,"2016-10-03 01:44:11"
"1694",NA,"2016-10-03 01:34:14"
"1695",NA,"2016-10-03 01:27:02"
"1696",13,"2016-10-03 01:07:01"
"1697",NA,"2016-10-03 00:52:05"
"1698",7,"2016-10-02 22:48:18"
"1699",13,"2016-10-02 20:55:47"
"1700",10,"2016-10-02 20:13:19"
"1701",NA,"2016-10-02 20:10:16"
"1702",NA,"2016-10-02 19:54:26"
"1703",NA,"2016-10-02 19:16:13"
"1704",NA,"2016-10-02 19:15:02"
"1705",NA,"2016-10-02 17:22:34"
"1706",10,"2016-10-02 15:49:17"
"1707",11,"2016-10-02 14:45:54"
"1708",NA,"2016-10-02 11:24:31"
"1709",NA,"2016-10-02 07:52:18"
"1710",2,"2016-10-02 06:17:27"
"1711",11,"2016-10-02 04:16:49"
"1712",10,"2016-10-02 03:11:37"
"1713",5,"2016-10-02 02:06:15"
"1714",NA,"2016-10-02 01:25:18"
"1715",11,"2016-10-02 01:00:52"
"1716",11,"2016-10-02 00:03:39"
"1717",8,"2016-10-01 21:05:23"
"1718",13,"2016-10-01 18:56:48"
"1719",11,"2016-10-01 17:59:42"
"1720",13,"2016-10-01 16:55:44"
"1721",NA,"2016-10-01 16:34:24"
"1722",10,"2016-10-01 16:09:27"
"1723",13,"2016-10-01 12:24:50"
"1724",5,"2016-10-01 11:05:56"
"1725",NA,"2016-10-01 07:02:36"
"1726",NA,"2016-10-01 01:31:30"
"1727",11,"2016-10-01 01:02:38"
"1728",13,"2016-10-01 00:35:52"
"1729",4,"2016-09-30 22:07:50"
"1730",11,"2016-09-30 21:59:36"
"1731",10,"2016-09-30 21:41:29"
"1732",4,"2016-09-30 21:27:56"
"1733",13,"2016-09-30 20:12:13"
"1734",4,"2016-09-30 19:27:28"
"1735",4,"2016-09-30 19:25:20"
"1736",14,"2016-09-30 18:54:59"
"1737",NA,"2016-09-30 18:47:48"
"1738",11,"2016-09-30 18:40:19"
"1739",9,"2016-09-30 18:32:29"
"1740",NA,"2016-09-30 18:15:58"
"1741",NA,"2016-09-30 17:34:46"
"1742",NA,"2016-09-30 17:20:43"
"1743",NA,"2016-09-30 16:59:08"
"1744",12,"2016-09-30 16:47:15"
"1745",NA,"2016-09-30 16:26:48"
"1746",1,"2016-09-30 16:13:23"
"1747",NA,"2016-09-30 15:44:01"
"1748",NA,"2016-09-30 15:23:50"
"1749",NA,"2016-09-30 15:08:07"
"1750",NA,"2016-09-30 13:19:25"
"1751",13,"2016-09-30 12:04:52"
"1752",4,"2016-09-30 08:39:11"
"1753",4,"2016-09-30 07:28:50"
"1754",5,"2016-09-30 07:11:54"
"1755",NA,"2016-09-30 07:06:06"
"1756",1,"2016-09-30 06:40:07"
"1757",13,"2016-09-30 05:44:19"
"1758",4,"2016-09-30 05:30:31"
"1759",NA,"2016-09-30 05:27:15"
"1760",13,"2016-09-30 05:20:20"
"1761",11,"2016-09-30 05:02:20"
"1762",11,"2016-09-30 05:00:58"
"1763",13,"2016-09-30 04:59:51"
"1764",13,"2016-09-30 04:43:21"
"1765",13,"2016-09-30 04:37:06"
