"id","assigned_to_cluster","timestamp"
"2070",18,"2016-09-13 01:27:10"
"2071",18,"2016-09-13 01:14:23"
"2072",8,"2016-09-13 00:33:23"
"2073",18,"2016-09-13 00:01:08"
"2074",16,"2016-09-12 22:58:33"
"2075",16,"2016-09-12 22:57:33"
"2076",NA,"2016-09-12 22:08:01"
"2077",9,"2016-09-12 21:25:53"
"2078",10,"2016-09-12 21:21:52"
"2079",16,"2016-09-12 21:10:06"
"2080",NA,"2016-09-12 21:02:00"
"2081",NA,"2016-09-12 20:57:36"
"2082",5,"2016-09-12 20:21:33"
"2083",NA,"2016-09-12 20:07:21"
"2084",NA,"2016-09-12 19:45:00"
"2085",19,"2016-09-12 19:44:44"
"2086",8,"2016-09-12 19:20:19"
"2087",NA,"2016-09-12 17:32:38"
"2088",18,"2016-09-12 17:05:08"
"2089",16,"2016-09-12 15:41:43"
"2090",19,"2016-09-12 15:19:44"
"2091",NA,"2016-09-12 15:13:48"
"2092",2,"2016-09-12 14:26:01"
"2093",NA,"2016-09-12 14:25:11"
"2094",8,"2016-09-12 13:52:48"
"2095",NA,"2016-09-12 12:51:42"
"2096",NA,"2016-09-12 12:50:47"
"2097",8,"2016-09-12 07:04:21"
"2098",16,"2016-09-12 06:47:28"
"2099",5,"2016-09-12 06:11:23"
"2100",18,"2016-09-12 05:52:23"
"2101",1,"2016-09-12 05:28:15"
"2102",12,"2016-09-12 05:10:12"
"2103",9,"2016-09-12 04:03:19"
"2104",1,"2016-09-12 03:36:36"
"2105",17,"2016-09-12 03:35:37"
"2106",19,"2016-09-12 02:38:02"
"2107",13,"2016-09-12 02:13:04"
"2108",NA,"2016-09-12 01:55:34"
"2109",18,"2016-09-12 01:27:48"
"2110",8,"2016-09-12 00:04:58"
"2111",19,"2016-09-11 23:39:24"
"2112",NA,"2016-09-11 23:12:28"
"2113",15,"2016-09-11 21:57:55"
"2114",16,"2016-09-11 21:31:03"
"2115",16,"2016-09-11 20:00:28"
"2116",18,"2016-09-11 19:51:17"
"2117",NA,"2016-09-11 18:31:03"
"2118",16,"2016-09-11 18:28:12"
"2119",18,"2016-09-11 17:53:41"
"2120",5,"2016-09-11 17:36:57"
"2121",5,"2016-09-11 17:26:47"
"2122",16,"2016-09-11 17:26:41"
"2123",16,"2016-09-11 17:23:45"
"2124",16,"2016-09-11 16:47:21"
"2125",5,"2016-09-11 15:45:19"
"2126",18,"2016-09-11 15:14:23"
"2127",16,"2016-09-11 12:23:12"
"2128",8,"2016-09-11 10:41:10"
"2129",NA,"2016-09-11 10:08:40"
"2130",NA,"2016-09-11 08:14:59"
"2131",NA,"2016-09-11 07:14:09"
"2132",18,"2016-09-11 06:40:39"
"2133",14,"2016-09-11 05:22:02"
"2134",NA,"2016-09-11 04:49:37"
"2135",NA,"2016-09-11 04:45:36"
"2136",NA,"2016-09-11 04:36:13"
"2137",16,"2016-09-11 04:24:09"
"2138",NA,"2016-09-11 03:58:35"
"2139",NA,"2016-09-11 03:54:34"
"2140",NA,"2016-09-11 03:50:43"
"2141",16,"2016-09-11 03:28:35"
"2142",NA,"2016-09-11 02:27:56"
"2143",NA,"2016-09-11 02:22:01"
"2144",NA,"2016-09-11 01:25:52"
"2145",15,"2016-09-11 00:45:30"
"2146",NA,"2016-09-10 22:51:19"
"2147",NA,"2016-09-10 20:49:00"
"2148",NA,"2016-09-10 20:31:09"
"2149",NA,"2016-09-10 20:06:08"
"2150",9,"2016-09-10 19:27:37"
"2151",2,"2016-09-10 19:23:27"
"2152",15,"2016-09-10 19:07:44"
"2153",NA,"2016-09-10 18:04:36"
"2154",17,"2016-09-10 17:42:36"
"2155",NA,"2016-09-10 17:01:37"
"2156",NA,"2016-09-10 16:25:22"
"2157",9,"2016-09-10 16:23:57"
"2158",NA,"2016-09-10 15:57:54"
"2159",13,"2016-09-10 15:26:39"
"2160",NA,"2016-09-10 14:40:22"
"2161",16,"2016-09-10 14:14:34"
"2162",13,"2016-09-10 13:29:52"
"2163",NA,"2016-09-10 12:01:45"
"2164",11,"2016-09-10 10:32:57"
"2165",16,"2016-09-10 07:26:56"
"2166",NA,"2016-09-10 05:40:12"
"2167",9,"2016-09-10 05:09:41"
"2168",14,"2016-09-10 04:47:23"
"2169",14,"2016-09-10 04:45:05"
"2170",14,"2016-09-10 04:44:02"
"2171",18,"2016-09-10 04:32:34"
"2172",15,"2016-09-10 04:01:04"
"2173",NA,"2016-09-10 03:56:11"
"2174",9,"2016-09-10 03:20:23"
"2175",19,"2016-09-10 02:52:04"
"2176",1,"2016-09-10 01:40:10"
"2177",16,"2016-09-10 00:43:29"
"2178",16,"2016-09-10 00:33:01"
"2179",16,"2016-09-09 23:09:20"
"2180",2,"2016-09-09 22:36:56"
"2181",19,"2016-09-09 22:14:17"
"2182",19,"2016-09-09 22:12:22"
"2183",18,"2016-09-09 20:41:43"
"2184",18,"2016-09-09 20:40:28"
"2185",18,"2016-09-09 20:37:54"
"2186",6,"2016-09-09 20:35:55"
"2187",17,"2016-09-09 20:31:58"
"2188",NA,"2016-09-09 19:20:11"
"2189",NA,"2016-09-09 18:59:33"
"2190",8,"2016-09-09 18:47:58"
"2191",NA,"2016-09-09 17:09:51"
"2192",8,"2016-09-09 15:34:26"
"2193",9,"2016-09-09 13:29:44"
"2194",9,"2016-09-09 13:29:08"
"2195",9,"2016-09-09 13:28:31"
"2196",9,"2016-09-09 13:25:17"
"2197",9,"2016-09-09 13:24:43"
"2198",9,"2016-09-09 13:23:25"
"2199",9,"2016-09-09 13:22:48"
"2200",NA,"2016-09-09 12:53:15"
"2201",8,"2016-09-09 12:16:31"
"2202",NA,"2016-09-09 12:09:56"
"2203",4,"2016-09-09 11:58:58"
"2204",8,"2016-09-09 08:08:37"
"2205",NA,"2016-09-09 07:18:27"
"2206",5,"2016-09-09 06:38:05"
"2207",16,"2016-09-09 05:59:32"
"2208",16,"2016-09-09 05:58:37"
"2209",NA,"2016-09-09 05:37:16"
"2210",15,"2016-09-09 05:31:53"
"2211",16,"2016-09-09 04:48:34"
"2212",16,"2016-09-09 04:45:04"
"2213",18,"2016-09-09 04:32:20"
"2214",19,"2016-09-09 04:26:13"
"2215",8,"2016-09-09 04:20:22"
"2216",12,"2016-09-09 04:13:56"
"2217",NA,"2016-09-09 04:06:04"
"2218",8,"2016-09-09 02:18:37"
"2219",18,"2016-09-09 02:06:31"
"2220",NA,"2016-09-09 01:25:15"
"2221",16,"2016-09-09 01:19:43"
"2222",15,"2016-09-09 00:45:01"
"2223",NA,"2016-09-08 23:55:21"
"2224",3,"2016-09-08 23:44:16"
"2225",NA,"2016-09-08 23:40:06"
"2226",16,"2016-09-08 01:48:00"
"2227",18,"2016-09-08 01:47:35"
"2228",18,"2016-09-08 01:46:37"
"2229",NA,"2016-09-08 00:48:15"
"2230",4,"2016-09-08 00:41:35"
"2231",19,"2016-09-07 23:51:08"
"2232",19,"2016-09-07 23:44:10"
"2233",1,"2016-09-07 23:30:53"
"2234",NA,"2016-09-07 23:25:00"
"2235",4,"2016-09-07 22:49:49"
"2236",16,"2016-09-07 22:33:14"
"2237",16,"2016-09-07 22:01:05"
"2238",19,"2016-09-07 01:46:19"
"2239",11,"2016-09-07 01:10:27"
"2240",14,"2016-09-07 01:07:58"
"2241",NA,"2016-09-07 01:06:25"
"2242",4,"2016-09-07 00:35:45"
"2243",18,"2016-09-07 00:32:42"
"2244",16,"2016-09-06 23:59:00"
"2245",18,"2016-09-06 23:56:45"
"2246",11,"2016-09-06 23:39:06"
"2247",6,"2016-09-06 23:12:20"
"2248",16,"2016-09-06 21:18:34"
"2249",16,"2016-09-06 21:18:17"
"2250",13,"2016-09-06 21:09:47"
