"id","assigned_to_cluster","timestamp","lon","lat",
"749",4,"2016-11-02 18:27:44",-57.8433678,-34.4698591,
"748",11,"2016-11-02 18:49:05",-46.6333823,-23.5506506,
"747",4,"2016-11-02 20:46:49",-58.6217415,-34.6510526,
"746",NA,"2016-11-02 21:39:51",-77.1499999,-12.0666669,
"745",11,"2016-11-02 22:03:08",-46.6333823,-23.5506506,
"744",10,"2016-11-02 22:23:25",-48.6692859,-27.645889,
"743",11,"2016-11-02 22:26:47",-46.3338889,-23.9608329,
"742",14,"2016-11-02 23:47:10",-43.9450947,-19.9227317,
"741",13,"2016-11-02 23:52:16",-43.3099289,-22.7896224,
"740",5,"2016-11-03 00:12:42",-57.6311195,-25.2959915,
"739",4,"2016-11-03 00:18:06",-59.0258389,-34.0954252,
"738",NA,"2016-11-03 00:21:03",-84.5978533,15.0610686,
"737",14,"2016-11-03 00:56:34",-43.9450947,-19.9227317,
"736",1,"2016-11-03 01:37:37",-74.085237657545,4.63874255,
"735",NA,"2016-11-03 02:09:54",-66.1109317,8.0018709,
"734",13,"2016-11-03 02:20:05",-40.2920625,-20.3297248,
"733",13,"2016-11-03 02:22:04",-43.2093726,-22.9110136,
"732",13,"2016-11-03 02:49:24",-40.4984616,-20.6718754,
"731",13,"2016-11-03 02:54:58",-40.4165489,-20.2632019,
"730",8,"2016-11-03 03:28:17",-54.6162946,-20.4640172,
"729",4,"2016-11-03 03:33:21",-58.4375796,-34.6075797,
"728",4,"2016-11-03 03:34:37",-58.4375796,-34.6075797,
"727",1,"2016-11-03 03:53:00",-74.085237657545,4.63874255,
"726",NA,"2016-11-03 03:55:19",-76.9956897677116,-12.09645145,
"725",2,"2016-11-03 04:26:04",-60.6430356770138,-31.64727895,
"724",1,"2016-11-03 04:43:59",-74.085237657545,4.63874255,
"723",11,"2016-11-03 05:11:12",-45.5440461,-20.0227779,
"722",7,"2016-11-03 09:35:21",-51.1429034,-29.6905704,
"721",13,"2016-11-03 11:17:37",-43.1154551,-22.883237,
"720",7,"2016-11-03 12:19:26",-52.6712473,-26.2295983,
"719",12,"2016-11-03 12:25:16",-49.253269,-16.6808819,
"718",11,"2016-11-03 12:53:58",-46.6333823,-23.5506506,
"717",11,"2016-11-03 13:12:01",-46.6333823,-23.5506506,
"716",NA,"2016-11-03 13:15:22",-67.5533437,-45.9259189,
"715",13,"2016-11-03 14:02:37",-43.2093726,-22.9110136,
"714",10,"2016-11-03 15:44:23",-48.5490119,-25.8236549,
"713",NA,"2016-11-03 16:06:56",-84.5978533,15.0610686,
"712",NA,"2016-11-03 16:12:25",-62.2390142463294,-38.7331574,
"711",14,"2016-11-03 17:07:39",-44.0840952,-19.9132748,
"710",NA,"2016-11-03 17:51:51",-72.393693,5.3356662,
"709",11,"2016-11-03 18:25:19",-46.6333823,-23.5506506,
"708",10,"2016-11-03 18:53:00",-48.5496097,-27.5973001,
"707",13,"2016-11-03 19:59:52",-43.4138221,-22.8080113,
"706",4,"2016-11-03 21:31:16",-59.3539577,-31.6252841,
"705",13,"2016-11-03 21:53:34",-41.8880099,-21.2047999,
"704",4,"2016-11-03 21:59:31",-58.4375796,-34.6075797,
"703",NA,"2016-11-03 22:08:57",-99.1434558734266,19.43393435,
"702",NA,"2016-11-03 22:35:52",-48.4682452,-1.4505599,
"701",12,"2016-11-03 22:42:12",-48.9525755,-16.3332827,
"700",11,"2016-11-03 23:16:03",-46.6333823,-23.5506506,
"699",NA,"2016-11-03 23:21:38",-66.8558794,-29.412741,
"698",13,"2016-11-03 23:28:43",-43.2093726,-22.9110136,
"697",4,"2016-11-04 00:22:14",-58.0892135,-32.3217256,
"696",6,"2016-11-04 00:40:40",-51.2304999,-30.0329999,
"695",8,"2016-11-04 00:57:18",-53.0709424,-23.7839581,
"694",8,"2016-11-04 01:02:28",-54.6909109,-21.8939921,
"693",4,"2016-11-04 01:19:21",-56.1913568,-34.9059038,
"692",9,"2016-11-04 02:20:55",-53.1999999,-10.3333332,
"691",13,"2016-11-04 02:40:14",-42.8815887,-20.7538585,
"690",3,"2016-11-04 03:02:08",-56.6775661,-36.7213328,
"689",11,"2016-11-04 03:09:16",-46.6333823,-23.5506506,
"688",13,"2016-11-04 03:33:37",-43.2093726,-22.9110136,
"687",4,"2016-11-04 04:03:57",-58.4375796,-34.6075797,
"686",11,"2016-11-04 04:07:06",-46.8764611,-23.5112183,
"685",NA,"2016-11-04 04:32:24",-75.1418679418261,10.6332465,
"684",10,"2016-11-04 08:38:32",-49.2712361,-25.4295696,
"683",11,"2016-11-04 11:05:53",-46.6333823,-23.5506506,
"682",14,"2016-11-04 13:19:29",-43.9450947,-19.9227317,
"681",NA,"2016-11-04 14:04:21",-64.9912285,-17.0568695,
"680",13,"2016-11-04 15:50:51",-40.3016326,-20.2996825,
"679",11,"2016-11-04 15:51:11",-47.8909319,-22.0183366,
