"id","assigned_to_cluster","timestamp","lon","lat"
"2193",NA,"2016-09-06 14:46:56",-70.650445,-33.4377967
"2192",NA,"2016-09-06 15:39:22",-59.9864061,-3.1319514
"2191",NA,"2016-09-06 16:30:32",-103.3469981,20.676143
"2190",NA,"2016-09-06 17:02:58",-64.1547479,-31.4362189
"2189",NA,"2016-09-06 17:03:22",-104.284125530077,19.12765695
"2188",NA,"2016-09-06 17:26:11",-58.5203176,-34.8599503
"2187",NA,"2016-09-06 19:38:57",-43.9450947,-19.9227317
"2186",5,"2016-09-06 19:52:01",-42.3663889,-21.1305559
"2185",NA,"2016-09-06 20:17:09",-70.3117262,-18.0899811
"2184",NA,"2016-09-06 20:22:28",-84.8700307,12.3724928
"2183",1,"2016-09-06 21:09:47",-54.6162946,-20.4640172
"2182",3,"2016-09-06 21:18:17",-46.6333823,-23.5506506
"2181",3,"2016-09-06 21:18:34",-46.6333823,-23.5506506
"2180",NA,"2016-09-06 23:12:20",-60.6337439,-33.0250795
"2179",NA,"2016-09-06 23:39:06",-51.2304999,-30.0329999
"2178",5,"2016-09-06 23:56:45",-44.1040127,-22.5225496
"2177",3,"2016-09-06 23:59:00",-47.0024049,-21.4647309
"2176",5,"2016-09-07 00:32:42",-40.4984616,-20.6718754
"2175",NA,"2016-09-07 00:35:45",-93.1418085426027,16.74521845
"2174",NA,"2016-09-07 01:06:25",-66.8785653,10.5085014
"2173",NA,"2016-09-07 01:07:58",-53.1999999,-10.3333332
"2172",NA,"2016-09-07 01:10:27",-51.9799161,-31.3658951
"2171",NA,"2016-09-07 01:46:19",-43.9450947,-19.9227317
"2170",3,"2016-09-07 22:01:05",-47.4377777,-23.5466666
"2169",3,"2016-09-07 22:33:14",-47.4377777,-23.5466666
"2168",NA,"2016-09-07 22:49:49",-92.7747840052769,18.0271663
"2167",NA,"2016-09-07 23:25:00",-56.09913,-15.5986685
"2166",NA,"2016-09-07 23:30:53",-101.1923187,19.7027684
"2165",NA,"2016-09-07 23:44:10",-43.9450947,-19.9227317
"2164",NA,"2016-09-07 23:51:08",-44.0382303,-19.9421559
"2163",NA,"2016-09-08 00:41:35",-93.1418085426027,16.74521845
"2162",NA,"2016-09-08 00:48:15",-101.647642206618,21.0973352
"2161",5,"2016-09-08 01:46:37",-43.4508727,-22.7592174
"2160",5,"2016-09-08 01:47:35",-43.4508727,-22.7592174
"2159",3,"2016-09-08 01:48:00",-46.6333823,-23.5506506
"2158",NA,"2016-09-08 23:40:06",-81.3066245,8.3096067
"2157",NA,"2016-09-08 23:44:16",-99.383140007743,20.7622177
"2156",NA,"2016-09-08 23:55:21",-63.701885,-8.7949938
"2155",2,"2016-09-09 00:45:01",-49.2712361,-25.4295696
"2154",3,"2016-09-09 01:19:43",-47.5563732,-24.7042691
"2153",NA,"2016-09-09 01:25:15",-73.2469272,-3.7476131
"2152",5,"2016-09-09 02:06:31",-40.3016326,-20.2996825
"2151",NA,"2016-09-09 02:18:37",-58.4375796,-34.6075797
"2150",NA,"2016-09-09 04:06:04",-103.3469981,20.676143
"2149",NA,"2016-09-09 04:13:56",-50.1601811,-25.0891684
"2148",NA,"2016-09-09 04:20:22",-58.4375796,-34.6075797
"2147",NA,"2016-09-09 04:26:13",-44.1983329,-19.9680559
"2146",5,"2016-09-09 04:32:20",-43.3501128,-21.7609532
"2145",3,"2016-09-09 04:45:04",-46.9958299,-22.9705599
"2144",3,"2016-09-09 04:48:34",-47.8909319,-22.0183366
"2143",2,"2016-09-09 05:31:53",-49.3695626,-28.678994
"2142",NA,"2016-09-09 05:37:16",-89.6236999,20.9671405
"2141",3,"2016-09-09 05:58:37",-46.6333823,-23.5506506
"2140",3,"2016-09-09 05:59:32",-46.4027779,-24.0058329
"2139",NA,"2016-09-09 06:38:05",-74.085237657545,4.63874255
"2138",NA,"2016-09-09 07:18:27",-65.9526467497241,18.36402775
"2137",NA,"2016-09-09 08:08:37",-58.2688679,-34.7303024
"2136",NA,"2016-09-09 11:58:58",-92.7747840052769,18.0271663
"2135",NA,"2016-09-09 12:09:56",-65.9526467497241,18.36402775
"2134",NA,"2016-09-09 12:16:31",-58.4375796,-34.6075797
"2133",NA,"2016-09-09 12:53:15",-72.1033193,-36.6066615
"2132",NA,"2016-09-09 13:22:48",-58.9865645,-27.4511042
"2131",NA,"2016-09-09 13:23:25",-58.9865645,-27.4511042
"2130",NA,"2016-09-09 13:24:43",-58.9865645,-27.4511042
"2129",NA,"2016-09-09 13:25:17",-58.9865645,-27.4511042
"2128",NA,"2016-09-09 13:28:31",-58.9865645,-27.4511042
"2127",NA,"2016-09-09 13:29:08",-58.9865645,-27.4511042
"2126",NA,"2016-09-09 13:29:44",-58.9865645,-27.4511042
"2125",NA,"2016-09-09 15:34:26",-58.4375796,-34.6075797
"2124",NA,"2016-09-09 17:09:51",-53.2169364,-17.3156527
"2123",NA,"2016-09-09 18:47:58",-57.9537637,-34.9206796
"2122",NA,"2016-09-09 18:59:33",-71.6596413,8.6115829
"2121",NA,"2016-09-09 19:20:11",-85.0592718528098,9.78818175
