"","assigned_to_cluster","timestamp"
"769",3,"2016-11-03 21:59:31"
"770",12,"2016-11-03 21:53:34"
"771",3,"2016-11-03 21:31:16"
"772",12,"2016-11-03 19:59:52"
"773",9,"2016-11-03 18:53:00"
"774",10,"2016-11-03 18:25:19"
"775",NA,"2016-11-03 17:51:51"
"776",13,"2016-11-03 17:07:39"
"777",NA,"2016-11-03 16:12:25"
"778",NA,"2016-11-03 16:06:56"
"779",9,"2016-11-03 15:44:23"
"780",12,"2016-11-03 14:02:37"
"781",NA,"2016-11-03 13:15:22"
"782",10,"2016-11-03 13:12:01"
"783",10,"2016-11-03 12:53:58"
"784",11,"2016-11-03 12:25:16"
"785",7,"2016-11-03 12:19:26"
"786",12,"2016-11-03 11:17:37"
"787",7,"2016-11-03 09:35:21"
"788",10,"2016-11-03 05:11:12"
"789",1,"2016-11-03 04:43:59"
"790",2,"2016-11-03 04:26:04"
"791",NA,"2016-11-03 03:55:19"
"792",1,"2016-11-03 03:53:00"
"793",3,"2016-11-03 03:34:37"
"794",3,"2016-11-03 03:33:21"
"795",8,"2016-11-03 03:28:17"
"796",12,"2016-11-03 02:54:58"
"797",12,"2016-11-03 02:49:24"
"798",12,"2016-11-03 02:22:04"
"799",12,"2016-11-03 02:20:05"
"800",NA,"2016-11-03 02:09:54"
"801",1,"2016-11-03 01:37:37"
"802",13,"2016-11-03 00:56:34"
"803",NA,"2016-11-03 00:21:03"
"804",3,"2016-11-03 00:18:06"
"805",4,"2016-11-03 00:12:42"
"806",12,"2016-11-02 23:52:16"
"807",13,"2016-11-02 23:47:10"
"808",10,"2016-11-02 22:26:47"
"809",9,"2016-11-02 22:23:25"
"810",10,"2016-11-02 22:03:08"
"811",NA,"2016-11-02 21:39:51"
"812",3,"2016-11-02 20:46:49"
"813",10,"2016-11-02 18:49:05"
"814",3,"2016-11-02 18:27:44"
"815",12,"2016-11-02 17:34:28"
"816",12,"2016-11-02 17:06:01"
"817",12,"2016-11-02 17:04:08"
"818",NA,"2016-11-02 16:40:59"
"819",10,"2016-11-02 16:38:53"
"820",10,"2016-11-02 16:32:12"
"821",10,"2016-11-02 16:06:25"
"822",4,"2016-11-02 15:52:56"
"823",10,"2016-11-02 15:41:31"
"824",3,"2016-11-02 15:22:12"
"825",13,"2016-11-02 15:21:26"
"826",9,"2016-11-02 15:04:53"
"827",10,"2016-11-02 14:55:49"
"828",1,"2016-11-02 14:32:30"
"829",NA,"2016-11-02 13:47:42"
"830",NA,"2016-11-02 13:10:11"
"831",12,"2016-11-02 12:21:38"
"832",13,"2016-11-02 00:56:12"
"833",12,"2016-11-02 00:34:01"
"834",7,"2016-11-02 00:00:46"
"835",NA,"2016-11-01 23:21:15"
"836",4,"2016-11-01 22:33:31"
"837",NA,"2016-11-01 22:31:32"
"838",3,"2016-11-01 20:46:51"
"839",10,"2016-11-01 20:34:03"
"840",3,"2016-11-01 20:17:24"
"841",10,"2016-11-01 19:34:24"
"842",NA,"2016-11-01 18:39:40"
"843",3,"2016-11-01 18:15:14"
"844",4,"2016-11-01 17:58:40"
"845",12,"2016-11-01 16:42:42"
"846",NA,"2016-11-01 15:59:03"
"847",NA,"2016-11-01 14:52:11"
"848",NA,"2016-11-01 14:51:09"
"849",4,"2016-11-01 14:40:31"
"850",4,"2016-11-01 13:56:48"
"851",4,"2016-11-01 13:55:55"
"852",4,"2016-11-01 13:54:20"
"853",4,"2016-11-01 13:53:37"
"854",4,"2016-11-01 13:53:09"
"855",4,"2016-11-01 13:52:49"
"856",4,"2016-11-01 13:52:14"
"857",4,"2016-11-01 13:48:49"
"858",4,"2016-11-01 13:48:03"
"859",4,"2016-11-01 13:45:00"
"860",13,"2016-11-01 13:29:28"
"861",12,"2016-11-01 13:20:46"
"862",3,"2016-11-01 13:07:47"
"863",NA,"2016-11-01 11:54:18"
"864",NA,"2016-11-01 10:23:07"
"865",3,"2016-11-01 06:06:48"
"866",9,"2016-11-01 05:04:14"
"867",12,"2016-11-01 04:57:49"
"868",NA,"2016-11-01 04:49:07"
"869",10,"2016-11-01 03:47:58"
"870",3,"2016-11-01 03:45:48"
"871",10,"2016-11-01 03:34:23"
"872",NA,"2016-11-01 02:10:38"
"873",NA,"2016-11-01 01:32:25"
"874",4,"2016-10-31 23:20:50"
"875",NA,"2016-10-31 22:48:50"
"876",3,"2016-10-31 22:29:18"
"877",10,"2016-10-31 22:19:23"
"878",NA,"2016-10-31 22:04:43"
"879",2,"2016-10-31 21:15:30"
"880",12,"2016-10-31 20:50:52"
"881",NA,"2016-10-31 20:14:00"
"882",NA,"2016-10-31 19:24:58"
"883",8,"2016-10-31 18:36:36"
"884",3,"2016-10-31 18:27:17"
"885",2,"2016-10-31 17:04:44"
"886",NA,"2016-10-31 16:40:45"
"887",1,"2016-10-31 15:19:45"
"888",6,"2016-10-31 14:37:54"
"889",NA,"2016-10-31 14:29:33"
"890",2,"2016-10-31 14:14:34"
"891",8,"2016-10-31 13:57:21"
"892",NA,"2016-10-31 13:53:44"
"893",10,"2016-10-31 05:04:22"
"894",1,"2016-10-31 05:01:54"
"895",1,"2016-10-31 04:49:19"
"896",10,"2016-10-31 04:42:30"
"897",10,"2016-10-31 04:24:05"
"898",3,"2016-10-31 03:54:42"
"899",7,"2016-10-31 03:33:11"
"900",NA,"2016-10-31 03:24:41"
"901",13,"2016-10-31 00:23:02"
"902",10,"2016-10-30 23:23:27"
"903",4,"2016-10-30 23:14:46"
"904",10,"2016-10-30 22:23:28"
"905",9,"2016-10-30 21:32:25"
"906",11,"2016-10-30 21:24:17"
"907",3,"2016-10-30 20:46:08"
"908",6,"2016-10-30 20:11:42"
"909",3,"2016-10-30 20:00:20"
"910",13,"2016-10-30 19:11:38"
"911",NA,"2016-10-30 18:39:39"
"912",11,"2016-10-30 18:22:38"
"913",12,"2016-10-30 17:22:55"
"914",12,"2016-10-30 17:17:35"
"915",NA,"2016-10-30 17:08:23"
"916",NA,"2016-10-30 16:22:06"
"917",12,"2016-10-30 13:37:51"
"918",1,"2016-10-30 13:33:46"
"919",13,"2016-10-30 13:31:04"
"920",1,"2016-10-30 13:21:59"
"921",NA,"2016-10-30 13:19:40"
"922",NA,"2016-10-30 07:31:56"
"923",NA,"2016-10-30 07:00:56"
"924",NA,"2016-10-30 06:50:03"
"925",3,"2016-10-30 04:26:15"
"926",NA,"2016-10-30 04:23:13"
"927",12,"2016-10-30 04:13:11"
"928",NA,"2016-10-30 04:04:26"
"929",11,"2016-10-30 03:32:58"
"930",13,"2016-10-30 02:25:55"
"931",12,"2016-10-30 02:00:31"
"932",10,"2016-10-30 02:48:47"
"933",NA,"2016-10-30 02:42:16"
"934",6,"2016-10-30 01:24:27"
"935",1,"2016-10-30 01:09:20"
"936",NA,"2016-10-30 00:52:05"
"937",13,"2016-10-29 22:59:02"
"938",4,"2016-10-29 20:35:42"
"939",12,"2016-10-29 19:19:48"
"940",9,"2016-10-29 18:36:38"
"941",2,"2016-10-29 17:58:22"
"942",13,"2016-10-29 17:55:43"
"943",3,"2016-10-29 16:46:00"
"944",9,"2016-10-29 15:42:10"
"945",12,"2016-10-29 15:34:57"
"946",11,"2016-10-29 14:28:09"
"947",7,"2016-10-29 13:17:27"
"948",3,"2016-10-29 08:07:02"
"949",NA,"2016-10-29 07:27:41"
"950",6,"2016-10-29 07:09:38"
"951",12,"2016-10-29 06:04:39"
"952",10,"2016-10-29 05:57:39"
"953",NA,"2016-10-29 04:16:31"
"954",12,"2016-10-29 04:13:46"
"955",9,"2016-10-29 03:48:53"
"956",8,"2016-10-29 02:50:28"
"957",NA,"2016-10-29 02:28:43"
"958",NA,"2016-10-29 02:26:21"
"959",13,"2016-10-29 02:18:02"
"960",12,"2016-10-29 01:19:30"
"961",12,"2016-10-29 01:03:47"
"962",4,"2016-10-29 00:48:24"
"963",8,"2016-10-29 00:32:24"
"964",4,"2016-10-29 00:30:21"
"965",4,"2016-10-29 00:27:55"
"966",3,"2016-10-28 23:11:30"
"967",2,"2016-10-28 22:37:40"
"968",10,"2016-10-28 22:26:19"
"969",2,"2016-10-28 20:20:13"
"970",2,"2016-10-28 20:12:35"
"971",2,"2016-10-28 19:59:37"
"972",12,"2016-10-28 19:54:44"
"973",2,"2016-10-28 19:44:18"
"974",3,"2016-10-28 18:17:44"
"975",4,"2016-10-28 16:57:37"
"976",3,"2016-10-28 16:55:40"
"977",NA,"2016-10-28 16:39:43"
"978",3,"2016-10-28 15:36:27"
"979",2,"2016-10-28 15:34:04"
"980",4,"2016-10-28 15:11:19"
"981",NA,"2016-10-28 15:07:56"
"982",NA,"2016-10-28 15:04:54"
"983",1,"2016-10-28 14:21:43"
"984",10,"2016-10-28 00:56:09"
"985",NA,"2016-10-28 00:17:57"
"986",10,"2016-10-27 22:57:24"
"987",NA,"2016-10-27 22:14:46"
"988",NA,"2016-10-27 21:57:28"
"989",NA,"2016-10-27 21:50:21"
"990",3,"2016-10-27 01:57:00"
"991",13,"2016-10-27 01:52:12"
"992",NA,"2016-10-27 00:52:41"
"993",6,"2016-10-26 23:44:53"
"994",12,"2016-10-26 23:19:23"
"995",10,"2016-10-26 23:11:12"
"996",3,"2016-10-26 23:08:22"
"997",NA,"2016-10-26 21:19:00"
"998",NA,"2016-10-26 20:05:21"
"999",NA,"2016-10-26 19:56:23"
"1000",3,"2016-10-26 19:49:50"
"1001",10,"2016-10-26 19:28:02"
"1002",NA,"2016-10-26 19:10:47"
"1003",NA,"2016-10-26 17:28:31"
"1004",NA,"2016-10-26 17:06:52"
"1005",8,"2016-10-26 17:02:23"
"1006",10,"2016-10-26 16:42:37"
"1007",3,"2016-10-26 16:34:11"
"1008",10,"2016-10-26 16:21:09"
"1009",10,"2016-10-26 15:44:10"
"1010",12,"2016-10-26 15:10:42"
"1011",NA,"2016-10-26 15:09:20"
"1012",3,"2016-10-26 15:02:40"
"1013",12,"2016-10-26 14:30:51"
"1014",NA,"2016-10-26 14:24:57"
"1015",2,"2016-10-26 13:54:43"
"1016",3,"2016-10-26 13:05:46"
"1017",12,"2016-10-26 12:56:52"
"1018",NA,"2016-10-26 12:43:58"
"1019",NA,"2016-10-26 01:51:00"
"1020",NA,"2016-10-26 01:31:48"
"1021",12,"2016-10-26 00:57:54"
"1022",12,"2016-10-26 00:54:53"
"1023",NA,"2016-10-26 00:46:02"
"1024",12,"2016-10-26 00:37:39"
"1025",12,"2016-10-26 00:13:47"
"1026",NA,"2016-10-26 00:03:06"
"1027",12,"2016-10-25 22:48:51"
"1028",3,"2016-10-25 22:12:10"
"1029",5,"2016-10-25 21:19:38"
"1030",NA,"2016-10-25 21:00:32"
"1031",3,"2016-10-25 20:37:16"
"1032",12,"2016-10-25 19:46:31"
"1033",NA,"2016-10-25 19:26:35"
"1034",4,"2016-10-25 19:13:43"
"1035",NA,"2016-10-25 18:48:22"
"1036",8,"2016-10-25 18:35:27"
"1037",12,"2016-10-25 18:29:49"
"1038",12,"2016-10-25 18:07:13"
"1039",NA,"2016-10-25 17:54:55"
"1040",NA,"2016-10-25 17:46:06"
"1041",8,"2016-10-25 17:42:25"
"1042",NA,"2016-10-25 17:41:11"
"1043",12,"2016-10-25 17:32:23"
"1044",2,"2016-10-25 17:22:26"
"1045",NA,"2016-10-25 16:51:07"
"1046",NA,"2016-10-25 16:44:48"
"1047",NA,"2016-10-25 15:50:04"
"1048",NA,"2016-10-25 15:49:28"
"1049",12,"2016-10-25 15:07:58"
"1050",2,"2016-10-25 14:42:37"
"1051",2,"2016-10-25 14:00:04"
"1052",4,"2016-10-25 13:50:16"
"1053",NA,"2016-10-25 13:42:34"
"1054",NA,"2016-10-25 01:27:41"
