"id","assigned_to_cluster","timestamp"
"385",4,"2016-11-15 14:54:30"
"386",NA,"2016-11-15 14:14:38"
"387",11,"2016-11-15 14:00:33"
"388",11,"2016-11-15 13:57:43"
"389",NA,"2016-11-15 13:02:23"
"390",NA,"2016-11-15 11:00:09"
"391",12,"2016-11-15 05:13:50"
"392",3,"2016-11-15 04:59:00"
"393",NA,"2016-11-15 04:58:17"
"394",13,"2016-11-15 03:36:16"
"395",12,"2016-11-15 02:43:18"
"396",9,"2016-11-15 01:24:13"
"397",NA,"2016-11-15 00:42:00"
"398",9,"2016-11-15 00:26:51"
"399",13,"2016-11-15 00:14:22"
"400",11,"2016-11-15 00:02:21"
"401",NA,"2016-11-15 00:00:21"
"402",2,"2016-11-14 22:32:40"
"403",11,"2016-11-14 21:53:23"
"404",3,"2016-11-14 21:24:34"
"405",3,"2016-11-14 20:53:53"
"406",12,"2016-11-14 20:51:47"
"407",2,"2016-11-14 19:04:17"
"408",NA,"2016-11-14 15:34:22"
"409",13,"2016-11-14 15:15:14"
"410",2,"2016-11-14 12:49:29"
"411",3,"2016-11-14 12:37:16"
"412",NA,"2016-11-14 11:29:03"
"413",3,"2016-11-14 11:07:06"
"414",3,"2016-11-14 04:47:00"
"415",NA,"2016-11-14 04:36:31"
"416",4,"2016-11-14 03:35:34"
"417",3,"2016-11-14 02:11:29"
"418",12,"2016-11-14 02:03:44"
"419",12,"2016-11-14 01:56:47"
"420",12,"2016-11-14 01:49:53"
"421",12,"2016-11-14 01:46:13"
"422",12,"2016-11-14 00:58:40"
"423",3,"2016-11-14 00:35:48"
"424",12,"2016-11-13 23:53:56"
"425",12,"2016-11-13 22:27:19"
"426",10,"2016-11-13 22:25:47"
"427",12,"2016-11-13 18:29:05"
"428",NA,"2016-11-13 17:21:07"
"429",2,"2016-11-13 15:33:23"
"430",1,"2016-11-13 15:32:39"
"431",3,"2016-11-13 15:29:10"
"432",1,"2016-11-13 15:21:56"
"433",13,"2016-11-13 14:03:42"
"434",11,"2016-11-13 13:57:58"
"435",1,"2016-11-13 13:51:33"
"436",13,"2016-11-13 12:27:42"
"437",3,"2016-11-13 12:07:19"
"438",10,"2016-11-13 04:48:12"
"439",12,"2016-11-13 03:23:13"
"440",12,"2016-11-13 02:53:46"
"441",9,"2016-11-13 00:46:19"
"442",1,"2016-11-12 22:17:16"
"443",12,"2016-11-12 22:13:21"
"444",13,"2016-11-12 22:06:28"
"445",2,"2016-11-12 17:15:46"
"446",7,"2016-11-12 16:09:54"
"447",2,"2016-11-12 15:40:52"
"448",9,"2016-11-12 15:25:54"
"449",11,"2016-11-12 14:54:02"
"450",NA,"2016-11-12 14:32:21"
"451",2,"2016-11-12 12:52:42"
"452",1,"2016-11-12 12:42:41"
"453",NA,"2016-11-12 11:34:26"
"454",NA,"2016-11-12 06:10:13"
"455",4,"2016-11-12 04:53:55"
"456",10,"2016-11-12 03:49:00"
"457",12,"2016-11-12 02:56:56"
"458",4,"2016-11-12 01:23:27"
"459",NA,"2016-11-12 01:15:36"
"460",NA,"2016-11-12 01:11:05"
"461",13,"2016-11-11 23:53:28"
"462",NA,"2016-11-11 23:40:28"
"463",3,"2016-11-11 21:37:16"
"464",NA,"2016-11-11 21:35:47"
"465",NA,"2016-11-11 21:11:01"
"466",NA,"2016-11-11 20:56:32"
"467",1,"2016-11-11 20:10:50"
"468",NA,"2016-11-11 18:52:38"
"469",NA,"2016-11-11 18:35:49"
"470",3,"2016-11-11 18:06:57"
"471",3,"2016-11-11 17:00:57"
"472",3,"2016-11-11 16:03:28"
"473",3,"2016-11-11 15:18:48"
"474",10,"2016-11-11 14:57:45"
"475",3,"2016-11-11 14:29:51"
"476",3,"2016-11-11 14:25:02"
"477",3,"2016-11-11 14:22:42"
"478",NA,"2016-11-11 14:22:01"
"479",10,"2016-11-11 13:43:29"
"480",12,"2016-11-11 13:39:10"
"481",NA,"2016-11-11 13:34:42"
"482",3,"2016-11-11 13:19:13"
"483",6,"2016-11-11 12:58:08"
"484",3,"2016-11-11 11:29:36"
"485",3,"2016-11-11 11:00:17"
"486",12,"2016-11-11 10:05:42"
"487",NA,"2016-11-11 04:52:30"
"488",1,"2016-11-11 04:22:36"
"489",13,"2016-11-11 04:03:53"
"490",1,"2016-11-11 04:00:51"
"491",NA,"2016-11-11 03:44:03"
"492",NA,"2016-11-11 03:32:08"
"493",4,"2016-11-11 02:41:22"
"494",NA,"2016-11-11 02:28:41"
"495",7,"2016-11-11 02:23:19"
"496",3,"2016-11-11 02:10:17"
"497",10,"2016-11-11 01:31:11"
"498",10,"2016-11-11 01:25:04"
"499",NA,"2016-11-11 01:10:01"
"500",12,"2016-11-11 00:57:44"
"501",11,"2016-11-11 00:05:01"
"502",10,"2016-11-11 00:04:05"
"503",NA,"2016-11-10 23:49:48"
"504",3,"2016-11-10 21:44:52"
"505",NA,"2016-11-10 21:06:41"
"506",10,"2016-11-10 20:39:54"
"507",2,"2016-11-10 20:36:49"
"508",NA,"2016-11-10 18:32:28"
"509",8,"2016-11-10 17:51:16"
"510",11,"2016-11-10 17:40:56"
"511",NA,"2016-11-10 17:33:54"
"512",2,"2016-11-10 17:01:49"
"513",12,"2016-11-10 16:49:39"
"514",10,"2016-11-10 15:04:00"
"515",1,"2016-11-10 14:58:56"
"516",12,"2016-11-10 14:35:51"
"517",2,"2016-11-10 13:39:22"
"518",12,"2016-11-10 13:30:04"
"519",13,"2016-11-10 12:39:53"
"520",9,"2016-11-10 06:56:30"
"521",2,"2016-11-10 06:29:30"
"522",NA,"2016-11-10 06:08:00"
"523",6,"2016-11-10 05:31:36"
"524",6,"2016-11-10 04:33:53"
"525",NA,"2016-11-10 03:43:22"
"526",NA,"2016-11-10 02:55:33"
"527",1,"2016-11-10 02:54:46"
"528",12,"2016-11-10 02:24:01"
"529",10,"2016-11-10 02:19:33"
"530",12,"2016-11-10 01:12:36"
"531",3,"2016-11-10 00:54:27"
"532",4,"2016-11-09 23:59:23"
"533",3,"2016-11-09 22:54:46"
"534",8,"2016-11-09 22:51:27"
"535",12,"2016-11-09 22:23:15"
"536",4,"2016-11-09 21:31:29"
"537",13,"2016-11-09 19:59:43"
"538",3,"2016-11-09 18:17:12"
"539",12,"2016-11-09 17:56:43"
"540",NA,"2016-11-09 17:50:57"
"541",10,"2016-11-09 17:47:26"
"542",NA,"2016-11-09 17:47:25"
"543",NA,"2016-11-09 17:42:47"
"544",NA,"2016-11-09 16:40:25"
"545",2,"2016-11-09 16:40:23"
"546",12,"2016-11-09 16:38:47"
"547",3,"2016-11-09 16:18:29"
"548",3,"2016-11-09 15:34:29"
"549",3,"2016-11-09 14:50:34"
"550",7,"2016-11-09 00:46:25"
"551",7,"2016-11-08 23:17:16"
"552",NA,"2016-11-08 23:13:34"
"553",10,"2016-11-08 22:48:00"
"554",12,"2016-11-08 22:19:02"
"555",12,"2016-11-08 22:01:49"
"556",4,"2016-11-08 21:52:33"
"557",12,"2016-11-08 21:33:04"
