"id","assigned_to_cluster","timestamp","lon","lat",
"1054",NA,"2016-10-22 12:22:05",-66.1109317,8.0018709,
"1053",NA,"2016-10-22 14:58:23",-47.495786,-4.9510215,
"1052",4,"2016-10-22 15:05:13",-58.4005119,-34.7035416,
"1051",NA,"2016-10-22 16:09:28",-84.8700307,12.3724928,
"1050",1,"2016-10-22 16:11:39",-74.085237657545,4.63874255,
"1049",12,"2016-10-22 16:14:06",-43.2093726,-22.9110136,
"1048",4,"2016-10-22 16:26:46",-58.4375796,-34.6075797,
"1047",8,"2016-10-22 16:47:34",-54.6162946,-20.4640172,
"1046",NA,"2016-10-22 16:47:59",-81.3066245,8.3096067,
"1045",8,"2016-10-22 16:48:51",-54.6162946,-20.4640172,
"1044",NA,"2016-10-22 17:37:03",-79.8499999,-6.7666669,
"1043",10,"2016-10-22 19:06:29",-48.4410711,-22.8879627,
"1042",10,"2016-10-22 22:06:00",-45.5394439,-20.2822229,
"1041",10,"2016-10-22 22:48:46",-46.6333823,-23.5506506,
"1040",NA,"2016-10-22 23:20:46",-84.5978533,15.0610686,
"1039",8,"2016-10-23 00:49:58",-53.0101721,-24.0509412,
"1038",11,"2016-10-23 04:00:24",-48.9525755,-16.3332827,
"1037",NA,"2016-10-23 04:38:54",-103.3911246,20.7211036,
"1036",4,"2016-10-23 05:29:04",-58.4375796,-34.6075797,
"1035",NA,"2016-10-23 07:20:38",-38.4812771,-12.9822498,
"1034",1,"2016-10-23 14:36:54",-74.085237657545,4.63874255,
"1033",9,"2016-10-23 15:44:22",-49.0658024,-26.9195566,
"1032",10,"2016-10-23 16:04:02",-46.5629623,-23.690102,
"1031",10,"2016-10-23 16:54:17",-46.4027779,-24.0058329,
"1030",13,"2016-10-23 17:10:57",-43.9450947,-19.9227317,
"1029",13,"2016-10-23 17:34:45",-44.0430549,-19.6177779,
"1028",1,"2016-10-23 17:37:19",-74.085237657545,4.63874255,
"1027",NA,"2016-10-23 18:12:58",-81.3066245,8.3096067,
"1026",NA,"2016-10-23 18:15:47",-81.3066245,8.3096067,
"1025",4,"2016-10-23 18:28:14",-58.4375796,-34.6075797,
"1024",NA,"2016-10-23 19:45:58",-87.0750071863356,20.98154135,
"1023",10,"2016-10-23 21:14:31",-46.5629623,-23.690102,
"1022",9,"2016-10-23 21:59:57",-48.6270135,-27.6162334,
"1021",NA,"2016-10-23 23:41:26",-70.5174806230693,-33.42478675,
"1020",NA,"2016-10-23 23:41:42",-73.0948167,-36.7917824,
"1019",13,"2016-10-24 00:45:28",-43.9450947,-19.9227317,
"1018",NA,"2016-10-24 01:49:10",-49.2223779,-1.5393589,
"1017",5,"2016-10-24 02:46:07",-55.8939676,-27.3664866,
"1016",10,"2016-10-24 03:25:33",-46.3338889,-23.9608329,
"1015",NA,"2016-10-24 03:47:43",-70.5174806230693,-33.42478675,
"1014",10,"2016-10-24 04:48:17",-46.6333823,-23.5506506,
"1013",10,"2016-10-24 07:59:01",-46.6333823,-23.5506506,
"1012",13,"2016-10-24 10:23:40",-43.9450947,-19.9227317,
"1011",NA,"2016-10-24 11:02:38",-99.9478986274392,20.54221585,
"1010",5,"2016-10-24 14:31:25",-57.6311195,-25.2959915,
"1009",NA,"2016-10-24 15:50:42",-64.9912285,-17.0568695,
"1008",5,"2016-10-24 16:27:41",-55.8939676,-27.3664866,
"1007",10,"2016-10-24 16:40:47",-49.9738889,-23.1591149,
"1006",NA,"2016-10-24 17:00:00",-64.9912285,-17.0568695,
"1005",4,"2016-10-24 17:13:32",-58.5203176,-34.8599503,
"1004",2,"2016-10-24 17:18:16",-64.9672816,-34.9964962,
"1003",12,"2016-10-24 17:30:54",-44.3163259,-23.0063965,
"1002",NA,"2016-10-24 17:36:36",-99.2341208,18.9212464,
"1001",11,"2016-10-24 17:48:22",-49.2452545,-16.8226742,
"1000",2,"2016-10-24 18:13:47",-60.6615414,-32.9595003,
"999",12,"2016-10-24 19:01:51",-43.2093726,-22.9110136,
