"id","assigned_to_cluster","timestamp"
"1",6,"2016-11-24 00:48:04"
"2",NA,"2016-11-24 00:26:58"
"3",3,"2016-11-24 00:23:04"
"4",3,"2016-11-24 00:12:05"
"5",2,"2016-11-24 00:10:53"
"6",3,"2016-11-24 00:10:45"
"7",3,"2016-11-24 00:09:14"
"8",3,"2016-11-24 00:08:01"
"9",4,"2016-11-23 23:59:55"
"10",3,"2016-11-23 23:59:27"
"11",4,"2016-11-23 23:52:57"
"12",2,"2016-11-23 23:47:42"
"13",NA,"2016-11-23 23:46:26"
"14",NA,"2016-11-23 23:45:17"
"15",4,"2016-11-23 21:58:45"
"16",NA,"2016-11-23 21:50:08"
"17",3,"2016-11-23 20:52:10"
"18",3,"2016-11-23 20:31:32"
"19",NA,"2016-11-23 20:00:38"
"20",NA,"2016-11-23 19:02:53"
"21",5,"2016-11-23 18:48:16"
"22",2,"2016-11-23 18:38:23"
"23",5,"2016-11-23 17:48:33"
"24",1,"2016-11-23 17:35:40"
"25",NA,"2016-11-23 17:26:06"
"26",NA,"2016-11-23 17:17:40"
"27",NA,"2016-11-23 17:12:33"
"28",3,"2016-11-23 17:01:47"
"29",2,"2016-11-23 16:35:39"
"30",NA,"2016-11-23 16:35:24"
"31",1,"2016-11-23 16:24:38"
"32",NA,"2016-11-23 15:46:07"
"33",3,"2016-11-23 15:20:07"
"34",3,"2016-11-23 15:16:12"
"35",NA,"2016-11-23 15:09:29"
"36",NA,"2016-11-23 15:02:31"
"37",NA,"2016-11-23 14:53:59"
"38",3,"2016-11-23 14:39:54"
"39",3,"2016-11-23 14:38:42"
"40",3,"2016-11-23 14:24:27"
"41",NA,"2016-11-23 13:51:39"
"42",1,"2016-11-23 13:14:56"
"43",3,"2016-11-23 12:53:05"
"44",5,"2016-11-23 12:43:02"
"45",3,"2016-11-23 11:13:23"
"46",NA,"2016-11-23 11:11:05"
"47",NA,"2016-11-23 11:10:31"
"48",3,"2016-11-23 11:02:34"
"49",NA,"2016-11-23 07:11:19"
"50",NA,"2016-11-23 06:06:12"
"51",NA,"2016-11-23 05:58:24"
"52",1,"2016-11-23 05:14:44"
"53",NA,"2016-11-23 04:40:01"
"54",1,"2016-11-23 04:37:15"
"55",NA,"2016-11-23 04:34:40"
"56",1,"2016-11-23 04:09:45"
"57",2,"2016-11-23 04:08:56"
"58",NA,"2016-11-23 03:45:58"
"59",3,"2016-11-23 03:29:17"
"60",NA,"2016-11-23 02:33:06"
"61",4,"2016-11-23 02:11:51"
"62",4,"2016-11-23 02:11:19"
"63",NA,"2016-11-23 01:57:40"
"64",5,"2016-11-23 01:35:06"
"65",NA,"2016-11-23 00:54:50"
"66",NA,"2016-11-22 23:41:56"
"67",3,"2016-11-22 23:36:26"
"68",1,"2016-11-22 23:06:05"
"69",1,"2016-11-22 23:00:46"
"70",NA,"2016-11-22 22:57:06"
"71",5,"2016-11-22 22:44:03"
"72",NA,"2016-11-22 21:22:22"
"73",3,"2016-11-22 20:04:15"
"74",3,"2016-11-22 20:04:03"
"75",5,"2016-11-22 19:03:06"
"76",NA,"2016-11-22 18:39:07"
"77",NA,"2016-11-22 18:29:03"
"78",4,"2016-11-22 18:16:46"
"79",5,"2016-11-22 18:07:13"
"80",1,"2016-11-22 17:50:08"
"81",NA,"2016-11-22 17:01:56"
"82",3,"2016-11-22 16:36:44"
"83",6,"2016-11-22 16:34:39"
"84",3,"2016-11-22 16:31:43"
"85",3,"2016-11-22 16:28:33"
"86",3,"2016-11-22 16:16:11"
"87",4,"2016-11-22 15:20:51"
"88",4,"2016-11-22 15:18:42"
"89",3,"2016-11-22 14:52:43"
"90",1,"2016-11-22 13:49:03"
"91",NA,"2016-11-22 13:33:33"
"92",NA,"2016-11-22 12:28:18"
"93",4,"2016-11-22 12:28:15"
"94",3,"2016-11-22 12:16:19"
"95",4,"2016-11-22 09:31:16"
"96",1,"2016-11-22 05:28:42"
"97",1,"2016-11-22 05:19:34"
"98",1,"2016-11-22 04:47:10"
"99",4,"2016-11-22 04:36:48"
"100",NA,"2016-11-22 04:15:08"
"101",NA,"2016-11-22 04:00:23"
"102",5,"2016-11-22 02:57:26"
"103",NA,"2016-11-22 02:49:39"
"104",NA,"2016-11-22 02:13:11"
"105",NA,"2016-11-22 01:54:18"
"106",NA,"2016-11-22 01:52:22"
"107",NA,"2016-11-22 01:40:48"
"108",4,"2016-11-22 01:38:20"
"109",NA,"2016-11-22 01:03:51"
"110",4,"2016-11-22 00:51:01"
"111",NA,"2016-11-22 00:50:21"
"112",1,"2016-11-22 00:32:40"
"113",5,"2016-11-22 00:02:55"
"114",NA,"2016-11-21 23:59:30"
"115",4,"2016-11-21 23:48:27"
"116",5,"2016-11-21 23:31:09"
"117",1,"2016-11-21 23:27:39"
"118",5,"2016-11-21 22:43:37"
"119",5,"2016-11-21 21:32:29"
"120",NA,"2016-11-21 21:21:00"
"121",NA,"2016-11-21 20:24:39"
"122",NA,"2016-11-21 19:52:54"
"123",2,"2016-11-21 19:44:17"
"124",5,"2016-11-21 19:43:03"
"125",3,"2016-11-21 18:52:47"
"126",3,"2016-11-21 18:04:25"
"127",NA,"2016-11-21 17:59:22"
"128",NA,"2016-11-21 17:53:10"
"129",4,"2016-11-21 17:04:47"
"130",2,"2016-11-21 16:51:58"
"131",1,"2016-11-21 16:27:34"
"132",1,"2016-11-21 16:21:33"
"133",1,"2016-11-21 16:09:37"
"134",1,"2016-11-21 15:48:16"
"135",5,"2016-11-21 15:39:51"
"136",5,"2016-11-21 15:37:12"
"137",1,"2016-11-21 15:10:54"
"138",NA,"2016-11-21 14:29:39"
"139",2,"2016-11-21 14:26:06"
"140",2,"2016-11-21 13:37:35"
"141",NA,"2016-11-21 13:20:11"
"142",NA,"2016-11-21 12:44:42"
"143",NA,"2016-11-21 12:24:36"
"144",NA,"2016-11-21 12:06:13"
"145",NA,"2016-11-21 04:44:40"
"146",1,"2016-11-21 03:45:06"
"147",3,"2016-11-21 03:24:42"
